sequence,model_replicate,transport_replicate,condition,service,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,eligible_samples,observable_samples,mean_aoi_s,max_aoi_s,qualified
building00,seed_42,1,degraded,local_1s,1.0,0.5093597743396872,0.6468928968287888,0.3748183605436362,11699,11699,0.4851354816647358,1.2999999999992724,0
building00,seed_42,1,degraded,local_5s,1.0,0.40655287760528347,0.9827600994939532,0.40655287760528347,11659,11659,0.48525602538774837,1.2999999999992724,0
building00,seed_42,1,degraded,local_10s,1.0,0.45645619777758634,1.0,0.45645619777758634,11609,11609,0.48480489275525684,1.2999999999992724,0
building00,seed_42,1,degraded,global,1.0,0.18396105559825776,0.9828337176530874,0.17952002732940472,11709,11709,0.4851908788108071,1.2999999999992724,0
building00,seed_1042,1,degraded,local_1s,1.0,0.5090178647747671,0.6468928968287888,0.3744764509787161,11699,11699,0.4851354816647358,1.2999999999992724,0
building00,seed_1042,1,degraded,local_5s,1.0,0.407239042799554,0.9827600994939532,0.407239042799554,11659,11659,0.48525602538774837,1.2999999999992724,0
building00,seed_1042,1,degraded,local_10s,1.0,0.46593160478938755,1.0,0.46593160478938755,11609,11609,0.48480489275525684,1.2999999999992724,0
building00,seed_1042,1,degraded,global,1.0,0.1782389614826202,0.9828337176530874,0.17413955077290974,11709,11709,0.4851908788108071,1.2999999999992724,0
building00,seed_2042,1,degraded,local_1s,1.0,0.5081630908624669,0.6468928968287888,0.37379263184887596,11699,11699,0.4851354816647358,1.2999999999992724,0
building00,seed_2042,1,degraded,local_5s,1.0,0.41229951110729907,0.9827600994939532,0.41229951110729907,11659,11659,0.48525602538774837,1.2999999999992724,0
building00,seed_2042,1,degraded,local_10s,1.0,0.4516323542079421,1.0,0.4516323542079421,11609,11609,0.48480489275525684,1.2999999999992724,0
building00,seed_2042,1,degraded,global,1.0,0.18208215902297378,0.9828337176530874,0.1777265351439064,11709,11709,0.4851908788108071,1.2999999999992724,0
building01,seed_42,1,degraded,local_1s,1.0,0.47335376336049034,0.6465356155168548,0.3527169444652067,13379,13379,0.48532027804732286,1.2999999999992724,0
building01,seed_42,1,degraded,local_5s,1.0,0.3830122198065822,0.9827573281355424,0.3830122198065822,13339,13339,0.48542619386724245,1.2999999999992724,0
building01,seed_42,1,degraded,local_10s,1.0,0.46421852660094814,1.0,0.46421852660094814,13289,13289,0.4850327338396543,1.2999999999992724,0
building01,seed_42,1,degraded,global,1.0,0.1755919038016282,0.9828217193218314,0.1723056240197177,13389,13389,0.4853685861524482,1.2999999999992724,0
building01,seed_1042,1,degraded,local_1s,1.0,0.47208311532999475,0.6465356155168548,0.35152104043650495,13379,13379,0.48532027804732286,1.2999999999992724,0
building01,seed_1042,1,degraded,local_5s,1.0,0.3863857860409326,0.9827573281355424,0.3863857860409326,13339,13339,0.48542619386724245,1.2999999999992724,0
building01,seed_1042,1,degraded,local_10s,1.0,0.47324855143351646,1.0,0.47324855143351646,13289,13289,0.4850327338396543,1.2999999999992724,0
building01,seed_1042,1,degraded,global,1.0,0.18149226977369481,0.9828217193218314,0.1782059899917843,13389,13389,0.4853685861524482,1.2999999999992724,0
building01,seed_2042,1,degraded,local_1s,1.0,0.47582031541968756,0.6465356155168548,0.3543613125046715,13379,13379,0.48532027804732286,1.2999999999992724,0
building01,seed_2042,1,degraded,local_5s,1.0,0.4010795411949921,0.9827573281355424,0.4009296049179099,13339,13339,0.48542619386724245,1.2999999999992724,0
building01,seed_2042,1,degraded,local_10s,1.0,0.48363307999097,1.0,0.48363307999097,13289,13289,0.4850327338396543,1.2999999999992724,0
building01,seed_2042,1,degraded,global,1.0,0.18761670027634625,0.9828217193218314,0.18403166778698932,13389,13389,0.4853685861524482,1.2999999999992724,0
building02,seed_42,1,degraded,local_1s,1.0,0.5649315366224734,0.6467072375570528,0.41376874592479895,18404,18404,0.4853347098631477,1.3000000000174623,0
building02,seed_42,1,degraded,local_5s,1.0,0.4965693748638641,0.9825746024831191,0.494826835112176,18364,18364,0.4854116750337983,1.3000000000174623,0
building02,seed_42,1,degraded,local_10s,1.0,0.5573877907611663,1.0,0.5573877907611663,18314,18314,0.4851261330304575,1.3000000000174623,0
building02,seed_42,1,degraded,global,1.0,0.538883458238297,0.982621918105789,0.5369827305311177,18414,18414,0.4853698273227732,1.3000000000174623,0
building02,seed_1042,1,degraded,local_1s,1.0,0.5658552488589437,0.6467072375570528,0.4136057378830689,18404,18404,0.4853347098631477,1.3000000000174623,0
building02,seed_1042,1,degraded,local_5s,1.0,0.49134175560879984,0.9825746024831191,0.48959921585711175,18364,18364,0.4854116750337983,1.3000000000174623,0
building02,seed_1042,1,degraded,local_10s,1.0,0.5472316260784099,1.0,0.5472316260784099,18314,18314,0.4851261330304575,1.3000000000174623,0
building02,seed_1042,1,degraded,global,1.0,0.5200934071901814,0.982621918105789,0.5181926794830021,18414,18414,0.4853698273227732,1.3000000000174623,0
building02,seed_2042,1,degraded,local_1s,1.0,0.5684633775266247,0.6467072375570528,0.4155618343838296,18404,18404,0.4853347098631477,1.3000000000174623,0
building02,seed_2042,1,degraded,local_5s,1.0,0.49793073404487037,0.9825746024831191,0.49618819429318234,18364,18364,0.4854116750337983,1.3000000000174623,0
building02,seed_2042,1,degraded,local_10s,1.0,0.560991591132467,1.0,0.560991591132467,18314,18314,0.4851261330304575,1.3000000000174623,0
building02,seed_2042,1,degraded,global,1.0,0.5590311719343978,0.982621918105789,0.5571304442272185,18414,18414,0.4853698273227732,1.3000000000174623,0
parking00,seed_42,1,degraded,local_1s,1.0,0.5204072438958465,0.6466348319668439,0.38354806739345887,11099,11099,0.48550319848052936,1.2999999999883585,0
parking00,seed_42,1,degraded,local_5s,1.0,0.4198390451216204,0.9822768785604485,0.4197486210326431,11059,11059,0.4856316122556857,1.2999999999883585,0
parking00,seed_42,1,degraded,local_10s,1.0,0.4850576800799346,1.0,0.4850576800799346,11009,11009,0.48515759832281946,1.2999999999883585,0
parking00,seed_42,1,degraded,global,1.0,0.014672787829687641,0.982356647763075,0.012872445764695293,11109,11109,0.4855612566329406,1.2999999999883585,0
parking00,seed_1042,1,degraded,local_1s,1.0,0.5195963600324354,0.6466348319668439,0.3830975763582305,11099,11099,0.48550319848052936,1.2999999999883585,0
parking00,seed_1042,1,degraded,local_5s,1.0,0.42426982548150827,0.9822768785604485,0.42417940139253096,11059,11059,0.4856316122556857,1.2999999999883585,0
parking00,seed_1042,1,degraded,local_10s,1.0,0.4906894359160687,1.0,0.4906894359160687,11009,11009,0.48515759832281946,1.2999999999883585,0
parking00,seed_1042,1,degraded,global,1.0,0.016653164101179223,0.982356647763075,0.014402736519938788,11109,11109,0.4855612566329406,1.2999999999883585,0
parking00,seed_2042,1,degraded,local_1s,1.0,0.521668618794486,0.6466348319668439,0.38453914767096137,11099,11099,0.48550319848052936,1.2999999999883585,0
parking00,seed_2042,1,degraded,local_5s,1.0,0.4248123700153721,0.9822768785604485,0.4247219459263948,11059,11059,0.4856316122556857,1.2999999999883585,0
parking00,seed_2042,1,degraded,local_10s,1.0,0.48533018439458625,1.0,0.48533018439458625,11009,11009,0.48515759832281946,1.2999999999883585,0
parking00,seed_2042,1,degraded,global,1.0,0.03780718336483932,0.982356647763075,0.035646772886848505,11109,11109,0.4855612566329406,1.2999999999883585,0
parking01,seed_42,1,degraded,local_1s,1.0,0.586159976674118,0.6475847993002235,0.43162600835844106,10289,10289,0.48484789580523957,1.2999999999883585,0
parking01,seed_42,1,degraded,local_5s,1.0,0.5022929066250366,0.9826324519465314,0.5022929066250366,10249,10249,0.48498390086255666,1.2999999999883585,0
parking01,seed_42,1,degraded,local_10s,1.0,0.580743210118639,1.0,0.580743210118639,10199,10199,0.4844690655888454,1.2999999999883585,0
parking01,seed_42,1,degraded,global,1.0,0.05845227692008933,0.9827167686183125,0.05796679289251384,10299,10299,0.4849111564171329,1.2999999999883585,0
parking01,seed_1042,1,degraded,local_1s,1.0,0.5885897560501506,0.6475847993002235,0.4336670230343085,10289,10289,0.48484789580523957,1.2999999999883585,0
parking01,seed_1042,1,degraded,local_5s,1.0,0.5089277002634404,0.9826324519465314,0.5089277002634404,10249,10249,0.48498390086255666,1.2999999999883585,0
parking01,seed_1042,1,degraded,local_10s,1.0,0.5831944308265516,1.0,0.5831944308265516,10199,10199,0.4844690655888454,1.2999999999883585,0
parking01,seed_1042,1,degraded,global,1.0,0.5337411399164967,0.9827167686183125,0.5306340421400136,10299,10299,0.4849111564171329,1.2999999999883585,0
parking01,seed_2042,1,degraded,local_1s,1.0,0.5880066089999028,0.6475847993002235,0.4330838759840607,10289,10289,0.48484789580523957,1.2999999999883585,0
parking01,seed_2042,1,degraded,local_5s,1.0,0.5112693921358181,0.9826324519465314,0.5112693921358181,10249,10249,0.48498390086255666,1.2999999999883585,0
parking01,seed_2042,1,degraded,local_10s,1.0,0.5806451612903226,1.0,0.5806451612903226,10199,10199,0.4844690655888454,1.2999999999883585,0
parking01,seed_2042,1,degraded,global,1.0,0.12350713661520536,0.9827167686183125,0.12331294300417517,10299,10299,0.4849111564171329,1.2999999999883585,0
parking02,seed_42,1,degraded,local_1s,1.0,0.5541235011012318,0.6476058406069011,0.4058242923566359,12259,12259,0.48471327187606195,1.2999999999883585,0
parking02,seed_42,1,degraded,local_5s,1.0,0.5207463785907194,0.9828954906293478,0.5205008593174564,12219,12219,0.48482690890652885,1.2999999999883585,0
parking02,seed_42,1,degraded,local_10s,1.0,0.5909277672775084,1.0,0.5909277672775084,12169,12169,0.48439477359924127,1.2999999999883585,0
parking02,seed_42,1,degraded,global,1.0,0.00032602494090797947,0.9829651968375581,0.0,12269,12269,0.4847664846302539,1.2999999999883585,0
parking02,seed_1042,1,degraded,local_1s,1.0,0.5561628191532751,0.6476058406069011,0.4068847377436985,12259,12259,0.48471327187606195,1.2999999999883585,0
parking02,seed_1042,1,degraded,local_5s,1.0,0.5234470905966119,0.9828954906293478,0.5232015713233489,12219,12219,0.48482690890652885,1.2999999999883585,0
parking02,seed_1042,1,degraded,local_10s,1.0,0.5946256882241762,1.0,0.5946256882241762,12169,12169,0.48439477359924127,1.2999999999883585,0
parking02,seed_1042,1,degraded,global,1.0,8.150623522699487e-05,0.9829651968375581,0.0,12269,12269,0.4847664846302539,1.2999999999883585,0
parking02,seed_2042,1,degraded,local_1s,1.0,0.5542050738233135,0.6476058406069011,0.4057427196345542,12259,12259,0.48471327187606195,1.2999999999883585,0
parking02,seed_2042,1,degraded,local_5s,1.0,0.5231197315655945,0.9828954906293478,0.5228742122923317,12219,12219,0.48482690890652885,1.2999999999883585,0
parking02,seed_2042,1,degraded,local_10s,1.0,0.5935573999506943,1.0,0.5935573999506943,12169,12169,0.48439477359924127,1.2999999999883585,0
parking02,seed_2042,1,degraded,global,1.0,0.0002445187056809846,0.9829651968375581,0.0,12269,12269,0.4847664846302539,1.2999999999883585,0
playground00,seed_42,1,degraded,local_1s,1.0,0.5631899945958465,0.6469543735042075,0.4137265498340153,12953,12953,0.48527754189965355,1.3000000000174623,0
playground00,seed_42,1,degraded,local_5s,1.0,0.6031131417950902,0.9824208162317045,0.6022612870750407,12913,12913,0.4853868195017048,1.3000000000174623,0
playground00,seed_42,1,degraded,local_10s,1.0,0.6835885874212858,1.0,0.6835885874212858,12863,12863,0.4849801757152018,1.3000000000174623,0
playground00,seed_42,1,degraded,global,1.0,0.8214919385944611,0.9824886214610815,0.820720512227108,12963,12963,0.48532747051040553,1.3000000000174623,1
playground00,seed_1042,1,degraded,local_1s,1.0,0.5632671967883888,0.6469543735042075,0.4137265498340153,12953,12953,0.48527754189965355,1.3000000000174623,0
playground00,seed_1042,1,degraded,local_5s,1.0,0.602571052427786,0.9824208162317045,0.6017191977077364,12913,12913,0.4853868195017048,1.3000000000174623,0
playground00,seed_1042,1,degraded,local_10s,1.0,0.683355360335847,1.0,0.683355360335847,12863,12863,0.4849801757152018,1.3000000000174623,0
playground00,seed_1042,1,degraded,global,1.0,0.8198719432230194,0.9824886214610815,0.8191005168556661,12963,12963,0.48532747051040553,1.3000000000174623,1
playground00,seed_2042,1,degraded,local_1s,1.0,0.563344398980931,0.6469543735042075,0.41380375202655756,12953,12953,0.48527754189965355,1.3000000000174623,0
playground00,seed_2042,1,degraded,local_5s,1.0,0.602571052427786,0.9824208162317045,0.6017191977077364,12913,12913,0.4853868195017048,1.3000000000174623,0
