sequence,condition,service,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,mean_aoi_s,max_aoi_s,qualified
building00,degraded,global,1.0,0.17954849545933327,0.9815811199362314,0.17612283049126504,0.487852648959126,1.4666666666659391,0
building00,degraded,local_10s,1.0,0.4477847646940592,0.999598013035863,0.4477847646940592,0.48780543830899387,1.4666666666659391,0
building00,degraded,local_1s,1.0,0.4984946481655602,0.6431318916146679,0.36752428982534124,0.48784226572035305,1.4666666666659391,0
building00,degraded,local_5s,1.0,0.40352231466392197,0.9815307201875518,0.4034365440146382,0.4879292106237606,1.4666666666659391,0
building00,ideal,global,1.0,0.018627646349911278,1.0,0.018627646349911278,0.10033877074614944,0.166666666667273,0
building00,ideal,local_10s,1.0,0.81994812453939,1.0,0.81994812453939,0.10034168891951621,0.166666666667273,1
building00,ideal,local_1s,1.0,0.9266224083729853,1.0,0.9266224083729853,0.1003390603185455,0.166666666667273,1
building00,ideal,local_5s,1.0,0.8078737456042542,1.0,0.8078737456042542,0.10034022357549222,0.166666666667273,1
building00,practical,global,1.0,0.053899659331378524,1.0,0.053899659331378524,0.15846499843424666,0.6333333333338184,0
building00,practical,local_10s,1.0,0.7655171753715986,1.0,0.7655171753715986,0.15852643064288585,0.6333333333338184,0
building00,practical,local_1s,1.0,0.8119402418060423,0.9976066330455594,0.8117977794873256,0.15847223409407596,0.6333333333338184,1
building00,practical,local_5s,1.0,0.7039101886001277,1.0,0.7039101886001277,0.15850130085484126,0.6333333333338184,0
building00,stress,global,1.0,0.17353223066776743,0.6625387878270277,0.1303650563194504,0.9257778916499336,3.3666666666661818,0
building00,stress,local_10s,1.0,0.32053674830830486,0.9196600338817584,0.3198476277983557,0.925339535417559,3.3666666666661818,0
building00,stress,local_1s,1.0,0.3600022793970995,0.21497563894349944,0.09394915044970605,0.9253298002674654,3.3666666666661818,0
building00,stress,local_5s,1.0,0.2628298596220373,0.662806987448895,0.22072600089582678,0.92518798067265,3.3666666666661818,0
building01,degraded,global,1.0,0.18120181575256636,0.9815520203151841,0.17848814532659482,0.48797022431312737,1.4666666666659391,0
building01,degraded,local_10s,1.0,0.46253793864599796,0.9995986655629969,0.4624877718413726,0.48792986680677,1.4666666666659391,0
building01,degraded,local_1s,1.0,0.46427651958708094,0.6429229887634851,0.3463387896454643,0.4879612327773724,1.4666666666659391,0
building01,degraded,local_5s,1.0,0.3744242030470384,0.9815078591598572,0.3743159157358123,0.48803758402642483,1.4666666666659391,0
building01,ideal,global,1.0,0.09381664882449109,1.0,0.09381664882449109,0.10033858640177236,0.166666666667273,0
building01,ideal,local_10s,1.0,0.8882116370264463,1.0,0.8882116370264463,0.10034113427145235,0.166666666667273,1
building01,ideal,local_1s,1.0,0.9224987750288594,1.0,0.9224987750288594,0.10033883947479857,0.166666666667273,1
building01,ideal,local_5s,1.0,0.8315049437322471,1.0,0.8315049437322471,0.10033985556138618,0.166666666667273,1
building01,practical,global,1.0,0.13340968124745853,1.0,0.13340968124745853,0.15853312420643195,0.6333333333338184,0
building01,practical,local_10s,1.0,0.8299930602586936,1.0,0.8299930602586936,0.15858730278174316,0.6333333333338184,1
