method,domain,mad,metric_a,metric_b,n_sequences,spearman,bootstrap_ci_low,bootstrap_ci_high,valid_bootstrap_replicates,interpretation
Fixed Physics (recomputed),heading,2.0,heading_mae_deg,pct_matched,10,-0.9757575757575757,-1.0,-0.8101265822784811,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),heading,2.0,dtheta_p95_deg,pct_matched,10,-0.9636363636363635,-1.0,-0.7901565322095171,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),heading,2.0,heading_mae_deg,ed_mean_deg,10,0.12727272727272726,-0.5686478758169934,0.8,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),heading,2.0,dtheta_p95_deg,fd_max_deg,10,-0.6,-0.9480519480519479,0.11949685534591196,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),heading,5.0,heading_mae_deg,pct_matched,10,-0.9878787878787878,-1.0,-0.8692810457516338,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),heading,5.0,dtheta_p95_deg,pct_matched,10,-0.9757575757575757,-1.0,-0.8101265822784811,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),heading,5.0,heading_mae_deg,ed_mean_deg,10,0.5878787878787878,-0.06918238993710693,0.9610514485514473,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),heading,5.0,dtheta_p95_deg,fd_max_deg,10,0.34545454545454546,-0.3292194092827004,0.8616352201257862,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),heading,10.0,heading_mae_deg,pct_matched,10,-0.9878787878787878,-1.0,-0.8692810457516338,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),heading,10.0,dtheta_p95_deg,pct_matched,10,-0.9757575757575757,-1.0,-0.8101265822784811,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),heading,10.0,heading_mae_deg,ed_mean_deg,10,0.8787878787878788,0.45454545454545453,1.0,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),heading,10.0,dtheta_p95_deg,fd_max_deg,10,0.04242424242424241,-0.6981132075471699,0.7987421383647799,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),position_xy,0.25,ate_m,pct_matched,10,0.12727272727272726,-0.6666666666666666,0.8641975308641975,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),position_xy,0.25,rpe10_m,pct_matched,10,0.4424242424242424,-0.38271604938271603,0.9259259259259257,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),position_xy,0.25,dp_p95_m,pct_matched,10,0.12727272727272726,-0.6732026143790849,0.8701714951714915,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),position_xy,0.25,ate_m,ed_mean_m,10,-0.32121212121212117,-0.903448275862069,0.5139501633986873,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),position_xy,0.25,ate_m,fd_max_m,10,-0.33333333333333326,-0.849056603773585,0.3856209150326797,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),position_xy,0.25,rpe10_m,ed_mean_m,10,-0.3939393939393939,-0.9166666666666666,0.39133186571271095,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),position_xy,0.25,dp_p95_m,fd_max_m,10,-0.33333333333333326,-0.8441809803100125,0.40372670807453415,20000,exploratory sequence-level correlation
