method,domain,mad,metric_a,metric_b,n_sequences,spearman,bootstrap_ci_low,bootstrap_ci_high,valid_bootstrap_replicates,interpretation
Fixed Physics (recomputed),position_xy,0.5,ate_m,pct_matched,10,-0.6242424242424242,-0.9230891719745223,-0.0588235294117647,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),position_xy,0.5,rpe10_m,pct_matched,10,0.17575757575757575,-0.6026490066225165,0.8124999999999999,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),position_xy,0.5,dp_p95_m,pct_matched,10,-0.6242424242424242,-0.9240506329113924,-0.06167525141035539,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),position_xy,0.5,ate_m,ed_mean_m,10,-0.4666666666666666,-0.9622641509433963,0.3464117647058817,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),position_xy,0.5,ate_m,fd_max_m,10,-0.6121212121212121,-0.9245283018867925,0.1234567901234568,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),position_xy,0.5,rpe10_m,ed_mean_m,10,-0.6363636363636362,-0.9629629629629629,0.03321069413783789,20000,exploratory sequence-level correlation
Fixed Physics (recomputed),position_xy,0.5,dp_p95_m,fd_max_m,10,-0.6121212121212121,-0.9250116459627329,0.1372549019607843,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,0.5,ate_m,pct_matched,10,-0.3696969696969697,-0.85,0.4896551724137931,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,0.5,rpe10_m,pct_matched,10,-0.406060606060606,-0.9125,0.39743589743589747,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,0.5,dp_p95_m,pct_matched,10,-0.38181818181818183,-0.9,0.6024844720496895,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,0.5,ate_m,ed_mean_m,10,-0.5272727272727272,-0.9259259259259257,0.1372549019607843,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,0.5,ate_m,fd_max_m,10,-0.41818181818181815,-0.8961038961038961,0.2704402515723271,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,0.5,rpe10_m,ed_mean_m,10,0.05454545454545454,-0.7358490566037736,0.6603773584905661,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,0.5,dp_p95_m,fd_max_m,10,-0.49090909090909085,-0.9108280254777071,0.20529801324503308,20000,exploratory sequence-level correlation
Twin V1,position_xy,0.5,ate_m,pct_matched,10,-0.9757575757575757,-1.0,-0.8101265822784811,20000,exploratory sequence-level correlation
Twin V1,position_xy,0.5,rpe10_m,pct_matched,10,-0.24848484848484845,-0.9119496855345913,0.605095541401274,20000,exploratory sequence-level correlation
Twin V1,position_xy,0.5,dp_p95_m,pct_matched,10,-0.8787878787878788,-1.0,-0.4125,20000,exploratory sequence-level correlation
Twin V1,position_xy,0.5,ate_m,ed_mean_m,10,0.8909090909090909,0.559748427672956,1.0,20000,exploratory sequence-level correlation
