metric,label,n_sequences,v1_mean,v2_mean,v1_median,v2_median,v1_sd,v2_sd,v1_iqr,v2_iqr,mean_paired_difference_v2_minus_v1,median_paired_difference_v2_minus_v1,mean_relative_change_pct,median_relative_change_pct,mean_difference_ci_low,mean_difference_ci_high,median_difference_ci_low,median_difference_ci_high,wilcoxon_two_sided_p,matched_pairs_rank_biserial_v2_minus_v1,v2_improved_sequences,v2_worse_sequences,ties
ate_m,ATE RMSE (m),10,2.8339329328876137,2.3979393554148,1.6319035010623701,1.5884990887557726,4.246428099286505,3.3568472931876867,1.6111940594519507,1.6311223277519564,-0.43599357747281375,-0.001331955013615993,-5.1803687028141185,-0.3199246715248815,-1.0588519686065705,-0.0007037280188754836,-0.8176748486710845,0.0015343884030571964,0.275390625,-0.41818181818181815,6,4,0
heading_mae_deg,Heading MAE ($^\circ$),10,3.3358076829826366,2.5689349101374024,0.7487177091719739,0.644472942414595,6.491378716736659,5.164633331840173,0.6350678506411244,0.3639654784804798,-0.7668727728452341,-0.09020024887623629,-17.896514537202762,-20.129040540172348,-1.691301230980502,-0.07451031625588675,-1.5434573607281092,-0.028181243429419675,0.009765625,-0.8909090909090909,8,2,0
rpe1_m,RPE1 (m),10,0.060622196022187824,0.06114859905027857,0.0401117810881757,0.034977991859696245,0.046088562946764805,0.04986056665980345,0.08628537382865975,0.09168832333741705,0.0005264030280907568,-0.00036373652571744866,-2.3377067982770443,-1.9959982105974339,-0.004043465777251905,0.006655127380621928,-0.0050477656713857,0.0014792134746286541,0.4921875,-0.2727272727272727,7,3,0
rpe5_m,RPE5 (m),10,0.16696559980066067,0.1602910527875951,0.11548205688083354,0.09775910569323135,0.11300181262579563,0.11669861698898258,0.20812807776997488,0.21653031954167112,-0.00667454701306561,-0.008662981029421764,-6.982525074651269,-8.632088895087978,-0.015226527951410607,0.004852132372994224,-0.01715715294970621,-0.0038781338859563592,0.083984375,-0.6363636363636364,9,1,0
rpe10_m,RPE10 (m),10,0.27144662767886396,0.25324730540391344,0.19579053604982166,0.163183915640978,0.16829735351414155,0.16838974181410368,0.3101233072761391,0.3205455460670295,-0.01819932227495056,-0.015644699288157253,-9.057109918341604,-12.345214718398418,-0.030635677491640763,-0.006047396665112212,-0.03260662040884364,-0.006665833982400761,0.037109375,-0.7454545454545455,8,2,0
dp_p95_m,"$D_{p,95}$ (m)",10,5.4829944738616785,4.596529965659483,2.7205530261848887,2.523169563682135,8.37371959920949,6.654251736441041,3.5206739016614126,3.6600689170503267,-0.8864645082021945,-0.00026633722496094414,-6.12032460418438,0.021008240931540162,-2.102346941983921,0.01879812588802684,-1.7804909446147832,0.04092167060527102,0.556640625,-0.23636363636363636,5,5,0
dtheta_p95_deg,"$D_{\theta,95}$ ($^\circ$)",10,6.9889203405708615,5.131776522887455,2.4889440691747335,2.1781617435989187,11.942618582871443,9.155977023091005,2.107178576310372,1.898503904229155,-1.8571438176834068,-0.3324931773354203,-22.44039688044277,-20.400001879237813,-4.116404451291422,-0.2459020372134376,-4.165932515476302,-0.16142371263270827,0.005859375,-0.9272727272727272,9,1,0
accum_yaw_residual_absmax_deg,$|I_\omega|_{\max}$ ($^\circ$),10,9.273153292385398,6.892074596802492,4.574653245341615,3.9781367379376738,11.977662295477035,9.37461989672166,2.91597590932261,1.9745220910819192,-2.3810786955829073,-1.0551148332581293,-24.9722441475984,-20.158335404521402,-4.580377795765975,-0.7774113980575749,-4.715413531891658,-0.5379655366929423,0.001953125,-1.0,10,0,0
hausdorff_m,Hausdorff (m),10,4.440763914897351,3.9214380771839275,3.340362478377875,3.3673222620766854,4.996503820711352,4.206487501291699,3.7649992438154243,3.496233248678128,-0.5193258377134244,-0.05651365314481627,-6.123950229688605,-3.7035101347809762,-1.0803957756519682,-0.04263244095248995,-1.037472653022357,0.0030696103425349452,0.083984375,-0.6363636363636364,7,3,0
mean_bidirectional_nearest_m,Mean bidirectional nearest (m),10,0.7259973255086962,0.6884718356747385,0.5956586523692528,0.5887148126478672,0.6250132348817266,0.5945880894503209,0.6564571054562998,0.6473078203109712,-0.03752548983395783,-0.010772796341605925,-3.5520080736864115,-1.5294630413212325,-0.0896480530754503,-0.00612289478636453,-0.03882683352963967,-0.0005557030802199048,0.01953125,-0.8181818181818182,8,2,0
terminal_position_error_m,Terminal position error (m),10,3.944467290117733,2.8052133639477437,0.6911839013432658,0.685562296738508,8.22681188250632,6.163750796185117,2.0159144708108565,2.0162712635413387,-1.1392539261699894,-0.0007483594361681473,-7.957092711914838,-0.7789758208427027,-2.807908962860746,0.02885230520219183,-2.5811035558486446,0.0046595126655751,0.431640625,-0.3090909090909091,7,3,0
