sequence,seed,path,zero_bias_replay_position_rmse_m,passes_replay_gate
building00,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_01_building00\v2_evaluated_trajectory.csv,17.66198113279391,False
building01,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_02_building01\v2_evaluated_trajectory.csv,4.1737791660190116,False
building02,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_03_building02\v2_evaluated_trajectory.csv,12.541289381060423,False
parking00,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_04_parking00\v2_evaluated_trajectory.csv,6.1280365161026324,False
parking01,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_05_parking01\v2_evaluated_trajectory.csv,0.06660805106960291,False
parking02,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_06_parking02\v2_evaluated_trajectory.csv,0.06301779586428094,False
playground00,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_07_playground00\v2_evaluated_trajectory.csv,6.4315270489909535,False
street00,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_08_street00\v2_evaluated_trajectory.csv,35.41171453273587,False
street01,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_09_street01\v2_evaluated_trajectory.csv,23.584421181970818,False
street02,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_10_street02\v2_evaluated_trajectory.csv,20.455949755655826,False
building00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_01_building00\v2_evaluated_trajectory.csv,26.200401939294736,False
building01,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_02_building01\v2_evaluated_trajectory.csv,5.336309119895288,False
building02,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_03_building02\v2_evaluated_trajectory.csv,10.910459777621616,False
parking00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,10.55104426252676,False
parking01,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_05_parking01\v2_evaluated_trajectory.csv,0.06614540107124241,False
parking02,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_06_parking02\v2_evaluated_trajectory.csv,0.06250919551886142,False
playground00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_07_playground00\v2_evaluated_trajectory.csv,11.128229193118697,False
street00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_08_street00\v2_evaluated_trajectory.csv,36.43562263974098,False
street01,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_09_street01\v2_evaluated_trajectory.csv,30.212901307384296,False
street02,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_10_street02\v2_evaluated_trajectory.csv,35.585825450704746,False
building00,03_2042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_03_base2042\fold_01_building00\v2_evaluated_trajectory.csv,8.167154491700737,False
building01,03_2042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_03_base2042\fold_02_building01\v2_evaluated_trajectory.csv,5.227257519034997,False
building02,03_2042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_03_base2042\fold_03_building02\v2_evaluated_trajectory.csv,17.418198839069394,False
parking00,03_2042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_03_base2042\fold_04_parking00\v2_evaluated_trajectory.csv,10.181735658076796,False
parking01,03_2042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_03_base2042\fold_05_parking01\v2_evaluated_trajectory.csv,0.06639844325978317,False
parking02,03_2042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_03_base2042\fold_06_parking02\v2_evaluated_trajectory.csv,0.0628716735508622,False
playground00,03_2042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_03_base2042\fold_07_playground00\v2_evaluated_trajectory.csv,3.548969194848333,False
street00,03_2042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_03_base2042\fold_08_street00\v2_evaluated_trajectory.csv,17.243705279170072,False
street01,03_2042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_03_base2042\fold_09_street01\v2_evaluated_trajectory.csv,10.075435902339738,False
street02,03_2042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_03_base2042\fold_10_street02\v2_evaluated_trajectory.csv,15.809648387028911,False
