heldout_sequence,scope,service,method,target_acceptance,selected_threshold,training_acceptance,accepted_count,condition_count,false_qualified_count,actual_qualified_count
building00,pooled,all,aoi_only,0.1,1.3,0.1125,9,80,4,20
building00,pooled,all,aoi_only,0.15,1.1,0.1375,11,80,6,20
building00,pooled,all,aoi_only,0.2,1.0,0.2,16,80,10,20
building00,pooled,all,aoi_only,0.25,1.0,0.2,16,80,10,20
building00,pooled,all,aoi_only,0.3,0.9,0.3125,25,80,15,20
building00,pooled,all,aoi_only,0.35,0.9,0.3125,25,80,15,20
building00,pooled,all,aoi_only,0.4,0.8,0.4125,33,80,23,20
building00,pooled,all,aoi_only,0.45,0.7,0.4375,35,80,25,20
building00,pooled,all,aoi_only,0.5,0.6,0.4875,39,80,28,20
building00,pooled,all,common,0.1,0.875,0.15555555555555556,0,80,0,20
building00,pooled,all,common,0.15,0.875,0.15555555555555556,0,80,0,20
building00,pooled,all,common,0.2,0.875,0.15555555555555556,0,80,0,20
building00,pooled,all,common,0.25,0.84375,0.3333333333333333,20,80,5,20
building00,pooled,all,common,0.3,0.84375,0.3333333333333333,20,80,5,20
building00,pooled,all,common,0.35,0.84375,0.3333333333333333,20,80,5,20
building00,pooled,all,common,0.4,0.8125,0.4,32,80,14,20
building00,pooled,all,common,0.45,0.75,0.43333333333333335,32,80,14,20
building00,pooled,all,common,0.5,0.6875,0.5,40,80,20,20
building00,pooled,all,motion_logistic,0.1,0.995893344574628,0.1,0,80,0,20
building00,pooled,all,motion_logistic,0.15,0.9899241972273836,0.15,0,80,0,20
building00,pooled,all,motion_logistic,0.2,0.9811248320200149,0.2,0,80,0,20
building00,pooled,all,motion_logistic,0.25,0.9532591393344232,0.25,2,80,0,20
building00,pooled,all,motion_logistic,0.3,0.9170362795418674,0.3,5,80,0,20
building00,pooled,all,motion_logistic,0.35,0.8557394557655692,0.35,9,80,0,20
building00,pooled,all,motion_logistic,0.4,0.7798907838166016,0.4,12,80,1,20
building00,pooled,all,motion_logistic,0.45,0.6914846201853551,0.45,14,80,1,20
building00,pooled,all,motion_logistic,0.5,0.6048832309666679,0.5,15,80,1,20
building00,pooled,all,service_empirical,0.1,inf,0.0,0,80,0,20
building00,pooled,all,service_empirical,0.15,1.0,0.29444444444444445,23,80,3,20
building00,pooled,all,service_empirical,0.2,1.0,0.29444444444444445,23,80,3,20
building00,pooled,all,service_empirical,0.25,1.0,0.29444444444444445,23,80,3,20
building00,pooled,all,service_empirical,0.3,1.0,0.29444444444444445,23,80,3,20
building00,pooled,all,service_empirical,0.35,0.875,0.3527777777777778,28,80,8,20
building00,pooled,all,service_empirical,0.4,0.75,0.37916666666666665,29,80,9,20
building00,pooled,all,service_empirical,0.45,0.625,0.4236111111111111,33,80,13,20
building00,pooled,all,service_empirical,0.5,0.5,0.5138888888888888,35,80,15,20
building00,pooled,all,service_identity_only,0.1,0.68125,0.08333333333333333,0,80,0,20
building00,pooled,all,service_identity_only,0.15,0.6625,0.19444444444444445,20,80,15,20
building00,pooled,all,service_identity_only,0.2,0.6625,0.19444444444444445,20,80,15,20
building00,pooled,all,service_identity_only,0.25,0.63125,0.25,20,80,15,20
building00,pooled,all,service_identity_only,0.3,0.59375,0.3333333333333333,20,80,15,20
