target_acceptance,method,accepted_count,condition_count,false_qualified_count,achieved_acceptance,selective_risk,empirical_surface_selective_risk,risk_minus_empirical
0.1,aoi_only,90,800,4,0.1125,0.0444444444444444,,
0.1,common,0,800,0,0.0,,,
0.1,motion_logistic,88,800,45,0.11,0.5113636363636364,,
0.1,service_empirical,0,800,0,0.0,,,
0.1,service_identity_only,0,800,0,0.0,,,
0.15,aoi_only,110,800,10,0.1375,0.0909090909090909,0.02,0.0709090909090909
0.15,common,0,800,0,0.0,,0.02,
0.15,motion_logistic,126,800,49,0.1575,0.3888888888888889,0.02,0.3688888888888889
0.15,service_empirical,200,800,4,0.25,0.02,0.02,0.0
0.15,service_identity_only,80,800,46,0.1,0.575,0.02,0.5549999999999999
0.2,aoi_only,160,800,28,0.2,0.175,0.02,0.155
0.2,common,0,800,0,0.0,,0.02,
0.2,motion_logistic,153,800,50,0.19125,0.326797385620915,0.02,0.30679738562091496
0.2,service_empirical,200,800,4,0.25,0.02,0.02,0.0
0.2,service_identity_only,200,800,75,0.25,0.375,0.02,0.355
0.25,aoi_only,160,800,28,0.2,0.175,0.02,0.155
0.25,common,200,800,30,0.25,0.15,0.02,0.13
0.25,motion_logistic,199,800,55,0.24875,0.2763819095477386,0.02,0.2563819095477386
0.25,service_empirical,200,800,4,0.25,0.02,0.02,0.0
0.25,service_identity_only,200,800,75,0.25,0.375,0.02,0.355
0.3,aoi_only,250,800,60,0.3125,0.24,0.0176991150442477,0.2223008849557523
0.3,common,200,800,30,0.25,0.15,0.0176991150442477,0.1323008849557523
0.3,motion_logistic,237,800,56,0.29625,0.2362869198312236,0.0176991150442477,0.2185878047869759
0.3,service_empirical,226,800,4,0.2825,0.0176991150442477,0.0176991150442477,0.0
0.3,service_identity_only,200,800,75,0.25,0.375,0.0176991150442477,0.3573008849557523
0.35,aoi_only,250,800,60,0.3125,0.24,0.0471014492753623,0.19289855072463769
0.35,common,236,800,30,0.295,0.1271186440677966,0.0471014492753623,0.0800171947924343
0.35,motion_logistic,271,800,61,0.33875,0.2250922509225092,0.0471014492753623,0.1779908016471469
0.35,service_empirical,276,800,13,0.345,0.0471014492753623,0.0471014492753623,0.0
0.35,service_identity_only,200,800,75,0.25,0.375,0.0471014492753623,0.3278985507246377
0.4,aoi_only,330,800,94,0.4125,0.2848484848484848,0.0847457627118644,0.2001027221366204
0.4,common,308,800,54,0.385,0.1753246753246753,0.0847457627118644,0.0905789126128109
0.4,motion_logistic,312,800,71,0.39,0.2275641025641025,0.0847457627118644,0.1428183398522381
0.4,service_empirical,295,800,25,0.36875,0.0847457627118644,0.0847457627118644,0.0
0.4,service_identity_only,200,800,75,0.25,0.375,0.0847457627118644,0.2902542372881356
0.45,aoi_only,350,800,106,0.4375,0.3028571428571429,0.1041666666666666,0.19869047619047628
0.45,common,348,800,63,0.435,0.1810344827586207,0.1041666666666666,0.07686781609195409
0.45,motion_logistic,358,800,87,0.4475,0.2430167597765363,0.1041666666666666,0.1388500931098697
0.45,service_empirical,336,800,35,0.42,0.1041666666666666,0.1041666666666666,0.0
0.45,service_identity_only,260,800,103,0.325,0.3961538461538461,0.1041666666666666,0.29198717948717945
0.5,aoi_only,390,800,124,0.4875,0.3179487179487179,0.1174785100286533,0.2004702079200646
0.5,common,400,800,81,0.5,0.2025,0.1174785100286533,0.08502148997134672
0.5,motion_logistic,396,800,108,0.495,0.2727272727272727,0.1174785100286533,0.15524876269861942
0.5,service_empirical,349,800,41,0.43625,0.1174785100286533,0.1174785100286533,0.0
0.5,service_identity_only,400,800,161,0.5,0.4025,0.1174785100286533,0.28502148997134674
