outer_sequence,sequence,service,ideal_qualified,degraded_qualified,practical_qualified,classification,practical_restores,observability,degraded_delivery_status,ideal_delivery_status,practical_intervention_status,degraded_failure_component,ideal_failure_component,practical_failure_component,degraded_coverage,degraded_physical_satisfaction,degraded_freshness_satisfaction,degraded_joint_satisfaction,degraded_mean_position_discrepancy_m,degraded_p95_position_discrepancy_m,degraded_mean_heading_discrepancy_deg,degraded_p95_heading_discrepancy_deg,ideal_coverage,ideal_physical_satisfaction,ideal_freshness_satisfaction,ideal_joint_satisfaction,ideal_mean_position_discrepancy_m,ideal_p95_position_discrepancy_m,ideal_mean_heading_discrepancy_deg,ideal_p95_heading_discrepancy_deg,practical_coverage,practical_physical_satisfaction,practical_freshness_satisfaction,practical_joint_satisfaction,practical_mean_position_discrepancy_m,practical_p95_position_discrepancy_m,practical_mean_heading_discrepancy_deg,practical_p95_heading_discrepancy_deg,held_minus_ideal_mean_position_m,held_minus_ideal_mean_heading_deg
building00,building00,global,0,0,0,persistent_under_ideal,0,1,unqualified,unqualified,unqualified,physical_only,physical_only,physical_only,1.0,0.16457425911691861,1.0,0.16457425911691861,1.9024816414210541,4.114919698251644,1.8467824054324222,7.51469050417721,1.0,0.008113417029635323,1.0,0.008113417029635323,1.8325078702186801,3.81631938711002,0.6815983770048065,1.9575721356804507,1.0,0.04927833290631139,1.0,0.04927833290631139,1.8460326187249505,3.9184481947620022,1.0105013906339029,3.3149603252256026,0.06997377120237402,1.1651840284276158
building00,building00,local_10s,1,0,0,delivery_remediable,0,1,unqualified,qualified,unqualified,physical_only,none,physical_only,1.0,0.5963476612972695,1.0,0.5963476612972695,0.5653390218682026,1.7716220908217253,2.678453279618118,9.90033500287187,1.0,0.8334338300743677,1.0,0.8334338300743677,0.30069956191611835,1.2028065760089928,0.5853608994884788,1.774335612217456,1.0,0.7793665833979384,1.0,0.7793665833979384,0.36601572223223205,1.2489392092786018,1.1703839266998453,4.053207058009752,0.26463945995208427,2.0930923801296393
building00,building00,local_1s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6748440037610052,1.0,0.6748440037610052,0.06353359568305374,0.1634793064706017,1.5831252077383153,6.192251048062064,1.0,0.9584864803259538,1.0,0.9584864803259538,0.03764656012545373,0.08029496009579502,0.17591545715610102,0.5556621142183841,1.0,0.8740918027181811,1.0,0.8740918027181811,0.04299728880892197,0.09817918418675438,0.6425889384416843,2.7065204107587815,0.025887035557600004,1.4072097505822143
building00,building00,local_5s,1,0,0,delivery_remediable,0,1,unqualified,qualified,unqualified,physical_only,none,physical_only,1.0,0.5585670583526318,1.0,0.5585670583526318,0.27901924043847415,0.9430884976312085,2.3336012635826795,8.879738830069142,1.0,0.8317751665380108,1.0,0.8317751665380108,0.15872104861675365,0.7440688392982545,0.42114511843037405,1.331722461885734,1.0,0.7558967321382623,1.0,0.7558967321382623,0.18753050006922145,0.7502831676957209,0.9692025717793104,3.5577939659176585,0.1202981918217205,1.9124561451523054
building01,building01,global,0,0,0,persistent_under_ideal,0,1,unqualified,unqualified,unqualified,physical_only,physical_only,physical_only,1.0,0.18301092936988073,1.0,0.18301092936988073,1.5419758350507997,2.575764952546374,2.1090996705289187,8.073658866202521,1.0,0.06913635571489034,1.0,0.06913635571489034,1.475166086530334,2.1988708529909813,0.7727785378852691,2.6960283545024115,1.0,0.12998232379814276,1.0,0.12998232379814276,1.4878473249626907,2.266610533612599,1.1152083476072676,3.58703011444085,0.06680974852046573,1.3363211326436497
building01,building01,local_10s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6158727769834701,1.0,0.6158727769834701,0.5208281308876135,1.551844916150732,2.918620317265207,10.136746038816334,1.0,0.899365389921489,1.0,0.899365389921489,0.23281073656321197,0.8984655974609274,0.5265700054943975,1.5889300834878546,1.0,0.8442822384428225,1.0,0.8442822384428225,0.29648802745678804,0.9799110478007419,1.1315735781734342,3.687759193610519,0.28801739432440154,2.39205031177081
building01,building01,local_1s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6380147993123552,1.0,0.6380147993123552,0.06185170644324282,0.1664635669711271,1.7333856325109298,6.577085698357457,1.0,0.9450382440142512,1.0,0.9450382440142512,0.035140829924760246,0.10858946421147413,0.184137464302793,0.5809504415395595,1.0,0.8622717193611878,1.0,0.8622717193611878,0.040155589958163436,0.11268792514739472,0.675455172650249,2.6334862319406973,0.02671087651848257,1.5492481682081367
building01,building01,local_5s,1,0,0,delivery_remediable,0,1,unqualified,qualified,unqualified,physical_only,none,physical_only,1.0,0.5356723392558163,1.0,0.5356723392558163,0.26494344686784976,0.8298209658998278,2.691884836222861,9.846552910298179,1.0,0.854062023639953,1.0,0.854062023639953,0.13205024919735073,0.524509428984128,0.40616562892337926,1.2176796458861159,1.0,0.7773196391533599,1.0,0.7773196391533599,0.16087862022462043,0.5377819754749157,1.0222044735773885,3.6320872695195554,0.13289319767049904,2.285719207299482
building02,building02,global,0,0,0,persistent_under_ideal,0,1,unqualified,unqualified,unqualified,physical_only,physical_only,physical_only,1.0,0.6251402918069585,1.0,0.6251402918069585,1.2510161067514816,4.350425514069227,1.5227413862036008,5.5695059096071935,1.0,0.7844031714999457,1.0,0.7844031714999457,0.9593632150540466,4.615891165422755,0.8110368873885214,3.3376186468406104,1.0,0.7713153035733681,1.0,0.7713153035733681,1.0290857273298284,4.489753007124851,0.9972978288969497,3.569454976691117,0.2916528916974349,0.7117044988150794
building02,building02,local_10s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7031232936551272,1.0,0.7031232936551272,0.47115299021058626,1.6451757432156573,1.8304408649342567,6.984476428930461,1.0,0.9077754723162608,1.0,0.9077754723162608,0.25071120155893933,1.03924745984454,0.4321218942969463,1.5557102736813693,1.0,0.8599978158785628,1.0,0.8599978158785628,0.30609377298993523,1.108770434094439,0.8316829014406175,3.076859569703237,0.22044178865164693,1.3983189706373105
building02,building02,local_1s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7275411142505254,1.0,0.7275411142505254,0.05900111825161091,0.14235209295001255,1.3004032438872282,5.442044786115903,1.0,0.9823589074838802,1.0,0.9823589074838802,0.031441023548633824,0.0536075398721303,0.15355293160958858,0.5011628348640115,1.0,0.9127544736651453,1.0,0.9127544736651453,0.036544961604375974,0.07348304308030211,0.5342347712144222,2.385580577353913,0.027560094702977087,1.1468503122776397
building02,building02,local_5s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6404196616568649,1.0,0.6404196616568649,0.24431754041057838,0.8413294145555309,1.6995583810889208,6.793331455638657,1.0,0.9073731213243302,1.0,0.9073731213243302,0.13203271041489112,0.4194550265682755,0.32167587813063503,1.137768297449188,1.0,0.8271255354679447,1.0,0.8271255354679447,0.15883806294146582,0.5041879886183157,0.7274629140405632,2.8526336912250745,0.11228482999568726,1.3778825029582857
parking00,parking00,global,0,0,0,persistent_under_ideal,0,1,unqualified,unqualified,unqualified,physical_only,physical_only,physical_only,1.0,0.011972274732199117,1.0,0.011972274732199117,2.118927872494345,3.0374138815095617,1.8242391786029122,7.299786083262961,1.0,0.0,1.0,0.0,2.074597381887481,3.055303763339095,0.6202767971431618,2.5007197369794096,1.0,0.0,1.0,0.0,2.081784021179662,2.9316306962300502,0.9737722279039916,3.294418298914843,0.044330490606864004,1.2039623814597504
parking00,parking00,local_10s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6480455384988041,1.0,0.6480455384988041,0.5294488250070046,1.7063814722178783,2.5225305269639575,9.514767673348553,1.0,0.9593060223453538,1.0,0.9593060223453538,0.20523920922848563,0.4054867465047456,0.3983331466713447,1.1266354662161273,1.0,0.8885760135646592,1.0,0.8885760135646592,0.28768113789204436,0.8263353755656446,1.0204671672304568,3.716820513427846,0.32420961577851903,2.124197380292613
parking00,parking00,local_1s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6933357359521879,1.0,0.6933357359521879,0.05724368038581479,0.14203017240252935,1.5845502374715592,6.47732020858017,1.0,0.9748926329699373,1.0,0.9748926329699373,0.029413513447590866,0.060801351641503576,0.15469927967441813,0.5204864869845478,1.0,0.8967774874613328,1.0,0.8967774874613328,0.03517446010549443,0.08135159742724979,0.6083671002619335,2.565881704501024,0.027830166938223922,1.429850957797141
parking00,parking00,local_5s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.5795882689815234,1.0,0.5795882689815234,0.26580524271637657,0.8054768369696755,2.3012592771111637,9.025235581038148,1.0,0.9446604575458902,1.0,0.9446604575458902,0.11390167843831374,0.2183051737780294,0.31114270683204465,0.9674955254609249,1.0,0.8346746239864967,1.0,0.8346746239864967,0.14965183684694913,0.39303053770295265,0.8979928723660727,3.4641882983330903,0.15190356427806284,1.990116570279119
parking01,parking01,global,0,0,0,persistent_under_ideal,0,1,unqualified,unqualified,unqualified,physical_only,physical_only,physical_only,1.0,0.2582127714664854,1.0,0.2582127714664854,3.8465950785443646,9.100236237604529,6.9449200109090645,13.872284701936652,1.0,0.3022947211703402,1.0,0.3022947211703402,3.78325524395972,9.272076970982248,6.196833977448858,10.882138239778,1.0,0.3026183771887238,1.0,0.3026183771887238,3.793653306402859,9.186646324785178,6.38028361620875,11.350883719435314,0.06333983458464454,0.7480860334602069
parking01,parking01,local_10s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7388632872503841,1.0,0.7388632872503841,0.3910768940459517,1.2210689048524646,2.5885215364176517,10.41953196876543,1.0,1.0,1.0,1.0,0.13876936835161227,0.2425333632456963,0.3083894598725439,0.9994798316043448,1.0,0.9603555904173612,1.0,0.9603555904173612,0.18777587949198082,0.44824066046083716,0.9055681655588713,3.652979672791298,0.25230752569433945,2.2801320765451076
parking01,parking01,local_1s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7704344445524347,1.0,0.7704344445524347,0.04297561868500582,0.11244976188375762,1.2098701754049406,5.316680982682196,1.0,0.9997732205915703,1.0,0.9997732205915703,0.019573128363500003,0.03954611193696282,0.11699123535264233,0.447921776641198,1.0,0.9459941037353808,1.0,0.9459941037353808,0.02315006061158587,0.05254759039940171,0.4551975010253888,2.042701350537076,0.02340249032150582,1.0928789400522982
