sequence,service,ideal_qualified,degraded_qualified,practical_qualified,classification,practical_restores,observability,degraded_delivery_status,ideal_delivery_status,practical_intervention_status,degraded_failure_component,ideal_failure_component,practical_failure_component,degraded_coverage,degraded_physical_satisfaction,degraded_freshness_satisfaction,degraded_joint_satisfaction,ideal_coverage,ideal_physical_satisfaction,ideal_freshness_satisfaction,ideal_joint_satisfaction,practical_coverage,practical_physical_satisfaction,practical_freshness_satisfaction,practical_joint_satisfaction
building00,global,0,0,0,persistent_under_ideal,0,1,unqualified,unqualified,unqualified,physical_only,physical_only,physical_only,1.0,0.16269536254163464,1.0,0.16269536254163464,1.0,0.0018788965752839695,1.0,0.0018788965752839695,1.0,0.04196202351467532,1.0,0.04196202351467532
building00,local_10s,1,0,0,delivery_remediable,0,1,unqualified,qualified,unqualified,physical_only,none,physical_only,1.0,0.6142360812013669,1.0,0.6142360812013669,1.0,0.8509776897234905,1.0,0.8509776897234905,1.0,0.7994659316047894,1.0,0.7994659316047894
building00,local_1s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6776362652078526,1.0,0.6776362652078526,1.0,0.9633871840898083,1.0,0.9633871840898083,1.0,0.8787930592358322,1.0,0.8787930592358322
building00,local_5s,1,0,0,delivery_remediable,0,1,unqualified,qualified,unqualified,physical_only,none,physical_only,1.0,0.5637132973096607,1.0,0.5637132973096607,1.0,0.8435543357063212,1.0,0.8435543357063212,1.0,0.7681333447694199,1.0,0.7681333447694199
building01,global,0,0,0,persistent_under_ideal,0,1,unqualified,unqualified,unqualified,physical_only,physical_only,physical_only,1.0,0.1805960116513556,1.0,0.1805960116513556,1.0,0.07157616949236936,1.0,0.07157616949236936,1.0,0.12799063908183336,1.0,0.12799063908183336
building01,local_10s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6230967968495248,1.0,0.6230967968495248,1.0,0.9003687260139964,1.0,0.9003687260139964,1.0,0.848596583640605,1.0,0.848596583640605
building01,local_1s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.637566335301592,1.0,0.637566335301592,1.0,0.9455365373595436,1.0,0.9455365373595436,1.0,0.8632932207190374,1.0,0.8632932207190374
building01,local_5s,1,0,0,delivery_remediable,0,1,unqualified,qualified,unqualified,physical_only,none,physical_only,1.0,0.5383961816228103,1.0,0.5383961816228103,1.0,0.8529125121823226,1.0,0.8529125121823226,1.0,0.7776195117075243,1.0,0.7776195117075243
building02,global,0,0,0,persistent_under_ideal,0,1,unqualified,unqualified,unqualified,physical_only,physical_only,physical_only,1.0,0.6454147206835379,1.0,0.6454147206835379,1.0,0.7967488505122914,1.0,0.7967488505122914,1.0,0.7857789363165707,1.0,0.7857789363165707
building02,local_10s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7054712242000655,1.0,0.7054712242000655,1.0,0.9113064686396563,1.0,0.9113064686396563,1.0,0.864802883040297,1.0,0.864802883040297
building02,local_1s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7288451785843657,1.0,0.7288451785843657,1.0,0.9832463957110772,1.0,0.9832463957110772,1.0,0.9134970658552488,1.0,0.9134970658552488
building02,local_5s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6446852537573514,1.0,0.6446852537573514,1.0,0.9121651056414724,1.0,0.9121651056414724,1.0,0.8312640673782038,1.0,0.8312640673782038
parking00,global,0,0,0,persistent_under_ideal,0,1,unqualified,unqualified,unqualified,physical_only,physical_only,physical_only,1.0,0.009631830047709065,1.0,0.009631830047709065,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
parking00,local_10s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6498319556726315,1.0,0.6498319556726315,1.0,0.9580948920580132,1.0,0.9580948920580132,1.0,0.8898779786235504,1.0,0.8898779786235504
parking00,local_1s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6931555395380965,1.0,0.6931555395380965,1.0,0.9748325674985735,1.0,0.9748325674985735,1.0,0.897318076703607,1.0,0.897318076703607
parking00,local_5s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.5804322271453115,1.0,0.5804322271453115,1.0,0.9439069234710793,1.0,0.9439069234710793,1.0,0.8367242366699822,1.0,0.8367242366699822
parking01,global,0,0,0,persistent_under_ideal,0,1,unqualified,unqualified,unqualified,physical_only,physical_only,physical_only,1.0,0.1368741301744506,1.0,0.1368741301744506,1.0,0.16467618215360716,1.0,0.16467618215360716,1.0,0.16046865391461954,1.0,0.16046865391461954
parking01,local_10s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7370330424551427,1.0,0.7370330424551427,1.0,1.0,1.0,1.0,1.0,0.9621531522698303,1.0,0.9621531522698303
parking01,local_1s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7689117828101208,1.0,0.7689117828101208,1.0,0.9997408235332231,1.0,0.9997408235332231,1.0,0.9451841772767032,1.0,0.9451841772767032
parking01,local_5s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6827983217874914,1.0,0.6827983217874914,1.0,0.9986665365726738,1.0,0.9986665365726738,1.0,0.9332943051354604,1.0,0.9332943051354604
parking02,global,0,0,0,persistent_under_ideal,0,1,unqualified,unqualified,unqualified,physical_only,physical_only,physical_only,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
parking02,local_10s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7502122880543457,1.0,0.7502122880543457,1.0,1.0,1.0,1.0,1.0,0.9635686306735695,1.0,0.9635686306735695
parking02,local_1s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7220001631454442,1.0,0.7220001631454442,1.0,0.9999456181852788,1.0,0.9999456181852788,1.0,0.9228322049106779,1.0,0.9228322049106779
parking02,local_5s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6865810077202171,1.0,0.6865810077202171,1.0,0.9997272008074857,1.0,0.9997272008074857,1.0,0.9334915568649916,1.0,0.9334915568649916
playground00,global,1,1,1,already_qualified_degraded,0,1,qualified,qualified,qualified,none,none,none,1.0,0.9217259379258916,1.0,0.9217259379258916,1.0,1.0,1.0,1.0,1.0,0.9974285787754892,1.0,0.9974285787754892
playground00,local_10s,1,1,1,already_qualified_degraded,0,1,qualified,qualified,qualified,none,none,none,1.0,0.862473761952888,1.0,0.862473761952888,1.0,1.0,1.0,1.0,1.0,0.9649641089429631,1.0,0.9649641089429631
playground00,local_1s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.738464705730976,1.0,0.738464705730976,1.0,1.0,1.0,1.0,1.0,0.9262461720579531,1.0,0.9262461720579531
playground00,local_5s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.785022845194765,1.0,0.785022845194765,1.0,1.0,1.0,1.0,1.0,0.9437517746973335,1.0,0.9437517746973335
street00,global,1,1,1,already_qualified_degraded,0,1,qualified,qualified,qualified,none,none,none,1.0,0.9169271220915811,1.0,0.9169271220915811,1.0,1.0,1.0,1.0,1.0,0.9990077888574689,1.0,0.9990077888574689
street00,local_10s,1,1,1,already_qualified_degraded,0,1,qualified,qualified,qualified,none,none,none,1.0,0.8276353276353277,1.0,0.8276353276353277,1.0,1.0,1.0,1.0,1.0,0.9822312190733243,1.0,0.9822312190733243
street00,local_1s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7751712838844206,1.0,0.7751712838844206,1.0,0.9998510574918081,1.0,0.9998510574918081,1.0,0.9583705689603813,1.0,0.9583705689603813
street00,local_5s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7773877103874116,1.0,0.7773877103874116,1.0,0.9968379643461805,1.0,0.9968379643461805,1.0,0.959789861567573,1.0,0.959789861567573
street01,global,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7846726312621413,1.0,0.7846726312621413,1.0,1.0,1.0,1.0,1.0,0.9726121097704451,1.0,0.9726121097704451
street01,local_10s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7764903859416812,1.0,0.7764903859416812,1.0,0.9863444508814037,1.0,0.9863444508814037,1.0,0.929156666390797,1.0,0.929156666390797
street01,local_1s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7012787863851694,1.0,0.7012787863851694,1.0,0.9920863112352474,1.0,0.9920863112352474,1.0,0.887428461896547,1.0,0.887428461896547
street01,local_5s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6618863155581197,1.0,0.6618863155581197,1.0,0.9789279925272673,1.0,0.9789279925272673,1.0,0.8803813291573944,1.0,0.8803813291573944
street02,global,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6948662863915845,1.0,0.6948662863915845,1.0,1.0,1.0,1.0,1.0,0.9345383608662371,1.0,0.9345383608662371
street02,local_10s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.7578923800283603,1.0,0.7578923800283603,1.0,0.9894270716720154,1.0,0.9894270716720154,1.0,0.9244719755205613,1.0,0.9244719755205613
street02,local_1s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6758593421800478,1.0,0.6758593421800478,1.0,0.9880149257419625,1.0,0.9880149257419625,1.0,0.8670521659623892,1.0,0.8670521659623892
street02,local_5s,1,0,1,delivery_remediable,1,1,unqualified,qualified,qualified,physical_only,none,none,1.0,0.6497880883337052,1.0,0.6497880883337052,1.0,0.9674820928445733,1.0,0.9674820928445733,1.0,0.8605348600887303,1.0,0.8605348600887303
