sequence,method,target_acceptance,threshold,inner_acceptance,accepted,conditions,false_qualified,achieved_acceptance
building00,aoi_only,0.1,1.2,0.1125,9,80,4,0.1125
building00,aoi_only,0.2,1.0,0.19583333333333333,16,80,10,0.2
building00,aoi_only,0.3,0.9,0.2777777777777778,22,80,13,0.275
building00,aoi_only,0.4,0.7,0.4125,33,80,23,0.4125
building00,aoi_only,0.5,0.6,0.4875,39,80,28,0.4875
building00,kinematic_staleness,0.1,-0.48953646216966973,0.1,8,80,5,0.1
building00,kinematic_staleness,0.2,-1.343377145356555,0.2,17,80,14,0.2125
building00,kinematic_staleness,0.3,-2.1213386456943124,0.3,31,80,19,0.3875
building00,kinematic_staleness,0.4,-3.030483779531804,0.39861111111111114,35,80,22,0.4375
building00,kinematic_staleness,0.5,-4.640958752611622,0.5,44,80,26,0.55
building00,motion_logistic,0.1,0.9954190984518744,0.1,0,80,0,0.0
building00,motion_logistic,0.2,0.972739605452476,0.2,0,80,0,0.0
building00,motion_logistic,0.3,0.8994201296164583,0.3,5,80,0,0.0625
building00,motion_logistic,0.4,0.7565589670522632,0.4,11,80,0,0.1375
building00,motion_logistic,0.5,0.5923040597232491,0.5,15,80,2,0.1875
building00,service_empirical,0.1,inf,0.0,0,80,0,0.0
building00,service_empirical,0.2,1.0,0.26805555555555555,21,80,3,0.2625
building00,service_empirical,0.3,0.875,0.31527777777777777,25,80,6,0.3125
building00,service_empirical,0.4,0.625,0.39305555555555555,31,80,12,0.3875
building00,service_empirical,0.5,0.5,0.47638888888888886,32,80,13,0.4
building01,aoi_only,0.1,1.2,0.1125,9,80,1,0.1125
building01,aoi_only,0.2,1.0,0.19583333333333333,16,80,7,0.2
building01,aoi_only,0.3,0.9,0.2777777777777778,22,80,10,0.275
building01,aoi_only,0.4,0.7,0.4125,33,80,20,0.4125
building01,aoi_only,0.5,0.6,0.4875,39,80,25,0.4875
building01,kinematic_staleness,0.1,-0.48953646216966973,0.10138888888888889,7,80,4,0.0875
building01,kinematic_staleness,0.2,-1.3343214947784534,0.2,14,80,11,0.175
building01,kinematic_staleness,0.3,-1.9581458485362062,0.2986111111111111,23,80,14,0.2875
building01,kinematic_staleness,0.4,-2.9962299752266355,0.39861111111111114,32,80,19,0.4
building01,kinematic_staleness,0.5,-4.563852893318178,0.5,39,80,20,0.4875
building01,motion_logistic,0.1,0.9952071315585055,0.1,0,80,0,0.0
building01,motion_logistic,0.2,0.9704165178872327,0.2,1,80,0,0.0125
building01,motion_logistic,0.3,0.9026360716420385,0.3,9,80,0,0.1125
building01,motion_logistic,0.4,0.7561647865092945,0.4,14,80,1,0.175
building01,motion_logistic,0.5,0.6018115947529478,0.5,21,80,5,0.2625
building01,service_empirical,0.1,inf,0.0,0,80,0,0.0
building01,service_empirical,0.2,1.0,0.24583333333333332,19,80,1,0.2375
building01,service_empirical,0.3,0.875,0.31527777777777777,25,80,4,0.3125
building01,service_empirical,0.4,0.625,0.39305555555555555,31,80,10,0.3875
building01,service_empirical,0.5,0.5,0.47638888888888886,32,80,11,0.4
building02,aoi_only,0.1,1.2,0.1125,9,80,1,0.1125
building02,aoi_only,0.2,1.0,0.19583333333333333,16,80,6,0.2
building02,aoi_only,0.3,0.9,0.2763888888888889,23,80,10,0.2875
building02,aoi_only,0.4,0.7,0.4125,33,80,17,0.4125
building02,aoi_only,0.5,0.6,0.4875,39,80,22,0.4875
building02,kinematic_staleness,0.1,-0.6060967559063608,0.1,14,80,8,0.175
building02,kinematic_staleness,0.2,-1.4686093863665362,0.2,32,80,18,0.4
building02,kinematic_staleness,0.3,-2.2888424733695016,0.3,46,80,26,0.575
building02,kinematic_staleness,0.4,-3.285585614059684,0.4,54,80,34,0.675
building02,kinematic_staleness,0.5,-4.895364620984332,0.4986111111111111,63,80,39,0.7875
building02,motion_logistic,0.1,0.9842232420154681,0.1,76,80,50,0.95
building02,motion_logistic,0.2,0.9331428493118739,0.2,79,80,53,0.9875
building02,motion_logistic,0.3,0.8342727270160338,0.3,80,80,54,1.0
building02,motion_logistic,0.4,0.6675586684592449,0.4,80,80,54,1.0
building02,motion_logistic,0.5,0.4529085631862053,0.5,80,80,54,1.0
building02,service_empirical,0.1,inf,0.0,0,80,0,0.0
building02,service_empirical,0.2,1.0,0.23055555555555557,18,80,0,0.225
building02,service_empirical,0.3,0.875,0.2861111111111111,22,80,0,0.275
building02,service_empirical,0.4,0.625,0.3861111111111111,30,80,5,0.375
building02,service_empirical,0.5,0.5,0.47638888888888886,32,80,6,0.4
parking00,aoi_only,0.1,1.2,0.1125,9,80,1,0.1125
parking00,aoi_only,0.2,1.0,0.19583333333333333,16,80,6,0.2
parking00,aoi_only,0.3,0.9,0.2777777777777778,22,80,9,0.275
parking00,aoi_only,0.4,0.7,0.4125,33,80,16,0.4125
parking00,aoi_only,0.5,0.6,0.4875,39,80,21,0.4875
parking00,kinematic_staleness,0.1,-0.48953646216966973,0.10138888888888889,7,80,4,0.0875
parking00,kinematic_staleness,0.2,-1.3054818467189229,0.2,10,80,7,0.125
parking00,kinematic_staleness,0.3,-1.8310739786956014,0.3013888888888889,14,80,11,0.175
parking00,kinematic_staleness,0.4,-2.9170134826083167,0.4,26,80,14,0.325
parking00,kinematic_staleness,0.5,-4.4477383158850285,0.5,34,80,19,0.425
parking00,motion_logistic,0.1,0.9941541397629596,0.1,4,80,0,0.05
parking00,motion_logistic,0.2,0.9634733381913185,0.2,14,80,1,0.175
parking00,motion_logistic,0.3,0.8628695343037388,0.3,27,80,6,0.3375
parking00,motion_logistic,0.4,0.6996103463170352,0.4,35,80,9,0.4375
parking00,motion_logistic,0.5,0.48195294443426884,0.5,51,80,24,0.6375
parking00,service_empirical,0.1,inf,0.0,0,80,0,0.0
parking00,service_empirical,0.2,1.0,0.23055555555555557,18,80,0,0.225
parking00,service_empirical,0.3,0.875,0.2833333333333333,22,80,0,0.275
parking00,service_empirical,0.4,0.625,0.3861111111111111,30,80,4,0.375
parking00,service_empirical,0.5,0.5,0.47638888888888886,32,80,5,0.4
parking01,aoi_only,0.1,1.2,0.1125,9,80,0,0.1125
parking01,aoi_only,0.2,1.0,0.19583333333333333,16,80,1,0.2
parking01,aoi_only,0.3,0.9,0.2777777777777778,22,80,4,0.275
parking01,aoi_only,0.4,0.7,0.4125,33,80,10,0.4125
parking01,aoi_only,0.5,0.6,0.4875,39,80,14,0.4875
parking01,kinematic_staleness,0.1,-0.48953646216966973,0.10138888888888889,7,80,4,0.0875
parking01,kinematic_staleness,0.2,-1.3054818467189229,0.2,10,80,7,0.125
parking01,kinematic_staleness,0.3,-1.823133426630198,0.3,12,80,9,0.15
parking01,kinematic_staleness,0.4,-2.9170134826083167,0.4,26,80,14,0.325
parking01,kinematic_staleness,0.5,-4.422505551378881,0.5,28,80,16,0.35
parking01,motion_logistic,0.1,0.9964548040511892,0.1,0,80,0,0.0
parking01,motion_logistic,0.2,0.9704732265962392,0.2,6,80,0,0.075
parking01,motion_logistic,0.3,0.8991014066512111,0.3,12,80,1,0.15
parking01,motion_logistic,0.4,0.7446487544785604,0.4,20,80,3,0.25
parking01,motion_logistic,0.5,0.581275415541193,0.5,28,80,4,0.35
parking01,service_empirical,0.1,inf,0.0,0,80,0,0.0
parking01,service_empirical,0.2,1.0,0.23055555555555557,18,80,0,0.225
parking01,service_empirical,0.3,0.875,0.2833333333333333,22,80,0,0.275
parking01,service_empirical,0.4,0.625,0.3527777777777778,26,80,0,0.325
parking01,service_empirical,0.5,0.5,0.45694444444444443,31,80,0,0.3875
parking02,aoi_only,0.1,1.2,0.1125,9,80,0,0.1125
parking02,aoi_only,0.2,1.0,0.19583333333333333,16,80,1,0.2
parking02,aoi_only,0.3,0.9,0.2777777777777778,22,80,4,0.275
parking02,aoi_only,0.4,0.7,0.4125,33,80,10,0.4125
parking02,aoi_only,0.5,0.6,0.4875,39,80,14,0.4875
parking02,kinematic_staleness,0.1,-0.482290632106871,0.1,4,80,1,0.05
parking02,kinematic_staleness,0.2,-1.3054818467189229,0.2,10,80,7,0.125
parking02,kinematic_staleness,0.3,-1.823133426630198,0.3,12,80,9,0.15
parking02,kinematic_staleness,0.4,-2.900599220804355,0.4,23,80,14,0.2875
parking02,kinematic_staleness,0.5,-4.422505551378881,0.5,28,80,16,0.35
parking02,motion_logistic,0.1,0.9971518083729757,0.1,0,80,0,0.0
parking02,motion_logistic,0.2,0.9656462978242103,0.2,7,80,0,0.0875
parking02,motion_logistic,0.3,0.8857102904683023,0.3,12,80,1,0.15
parking02,motion_logistic,0.4,0.7184766575142827,0.4,22,80,3,0.275
parking02,motion_logistic,0.5,0.5592296187251389,0.5,28,80,4,0.35
parking02,service_empirical,0.1,inf,0.0,0,80,0,0.0
parking02,service_empirical,0.2,1.0,0.23055555555555557,18,80,0,0.225
parking02,service_empirical,0.3,0.875,0.2833333333333333,22,80,0,0.275
parking02,service_empirical,0.4,0.625,0.3527777777777778,26,80,0,0.325
parking02,service_empirical,0.5,0.5,0.45694444444444443,31,80,0,0.3875
playground00,aoi_only,0.1,1.2,0.1125,9,80,0,0.1125
playground00,aoi_only,0.2,1.0,0.19583333333333333,16,80,0,0.2
playground00,aoi_only,0.3,0.9,0.2763888888888889,23,80,0,0.2875
playground00,aoi_only,0.4,0.7,0.4125,33,80,0,0.4125
