target_acceptance,method,accepted,conditions,false_qualified,achieved_acceptance,false_qualification,ci_low,ci_high
0.1,aoi_only,90,800,4,0.1125,0.044444444444444446,0.0,0.13333333333333333
0.1,kinematic_staleness,76,800,22,0.095,0.2894736842105263,0.11594202898550725,0.463768115942029
0.1,motion_logistic,81,800,42,0.10125,0.5185185185185185,0.0,0.5874125874125874
0.1,service_empirical,0,800,0,0.0,,,
0.2,aoi_only,160,800,28,0.2,0.175,0.05625,0.3125
0.2,kinematic_staleness,162,800,70,0.2025,0.43209876543209874,0.23668639053254437,0.626516602809705
0.2,motion_logistic,154,800,49,0.1925,0.3181818181818182,0.0,0.5231549850609927
0.2,service_empirical,195,800,5,0.24375,0.02564102564102564,0.0,0.06403940886699508
0.3,aoi_only,250,800,60,0.3125,0.24,0.116,0.364
0.3,kinematic_staleness,242,800,97,0.3025,0.40082644628099173,0.22181818181818183,0.5774238362970708
0.3,motion_logistic,235,800,56,0.29375,0.23829787234042554,0.0,0.45664739884393063
0.3,service_empirical,235,800,5,0.29375,0.02127659574468085,0.0,0.055793991416309016
0.4,aoi_only,330,800,94,0.4125,0.28484848484848485,0.13636363636363635,0.43636363636363634
0.4,kinematic_staleness,309,800,120,0.38625,0.3883495145631068,0.22530323219898865,0.5397923875432526
0.4,motion_logistic,312,800,71,0.39,0.22756410256410256,0.050581692410486184,0.42326732673267325
0.4,service_empirical,281,800,14,0.35125,0.0498220640569395,0.0,0.11388917132689359
0.5,aoi_only,390,800,124,0.4875,0.31794871794871793,0.16666666666666666,0.47435897435897434
0.5,kinematic_staleness,407,800,149,0.50875,0.36609336609336607,0.228643216080402,0.5
0.5,motion_logistic,395,800,109,0.49375,0.2759493670886076,0.12465282355526258,0.4255873325267732
0.5,service_empirical,350,800,41,0.4375,0.11714285714285715,0.02857142857142857,0.22
