sequence,service,classification,ideal_qualified,degraded_qualified,practical_qualified,configuration
building00,global,persistent_under_ideal,0,0,0,fixed_v5_deterministic
building00,local_10s,persistent_under_ideal,0,0,0,fixed_v5_deterministic
building00,local_1s,delivery_remediable,1,0,1,fixed_v5_deterministic
building00,local_5s,persistent_under_ideal,0,0,0,fixed_v5_deterministic
building01,global,persistent_under_ideal,0,0,0,fixed_v5_deterministic
building01,local_10s,persistent_under_ideal,0,0,0,fixed_v5_deterministic
building01,local_1s,delivery_remediable,1,0,1,fixed_v5_deterministic
building01,local_5s,persistent_under_ideal,0,0,0,fixed_v5_deterministic
building02,global,persistent_under_ideal,0,0,0,fixed_v5_deterministic
building02,local_10s,delivery_remediable,1,0,0,fixed_v5_deterministic
building02,local_1s,delivery_remediable,1,0,1,fixed_v5_deterministic
building02,local_5s,persistent_under_ideal,0,0,0,fixed_v5_deterministic
parking00,global,persistent_under_ideal,0,0,0,fixed_v5_deterministic
parking00,local_10s,delivery_remediable,1,0,0,fixed_v5_deterministic
parking00,local_1s,delivery_remediable,1,0,1,fixed_v5_deterministic
parking00,local_5s,persistent_under_ideal,0,0,0,fixed_v5_deterministic
parking01,global,persistent_under_ideal,0,0,0,fixed_v5_deterministic
parking01,local_10s,delivery_remediable,1,0,1,fixed_v5_deterministic
parking01,local_1s,delivery_remediable,1,0,1,fixed_v5_deterministic
parking01,local_5s,delivery_remediable,1,0,1,fixed_v5_deterministic
parking02,global,persistent_under_ideal,0,0,0,fixed_v5_deterministic
parking02,local_10s,delivery_remediable,1,0,1,fixed_v5_deterministic
parking02,local_1s,delivery_remediable,1,0,1,fixed_v5_deterministic
parking02,local_5s,delivery_remediable,1,0,1,fixed_v5_deterministic
playground00,global,persistent_under_ideal,0,0,0,fixed_v5_deterministic
playground00,local_10s,already_qualified_degraded,1,1,1,fixed_v5_deterministic
playground00,local_1s,delivery_remediable,1,0,1,fixed_v5_deterministic
playground00,local_5s,delivery_remediable,1,0,1,fixed_v5_deterministic
street00,global,persistent_under_ideal,0,0,0,fixed_v5_deterministic
street00,local_10s,delivery_remediable,1,0,1,fixed_v5_deterministic
street00,local_1s,delivery_remediable,1,0,1,fixed_v5_deterministic
street00,local_5s,delivery_remediable,1,0,0,fixed_v5_deterministic
street01,global,persistent_under_ideal,0,0,0,fixed_v5_deterministic
street01,local_10s,delivery_remediable,1,0,1,fixed_v5_deterministic
street01,local_1s,delivery_remediable,1,0,1,fixed_v5_deterministic
street01,local_5s,delivery_remediable,1,0,0,fixed_v5_deterministic
street02,global,persistent_under_ideal,0,0,0,fixed_v5_deterministic
street02,local_10s,delivery_remediable,1,0,1,fixed_v5_deterministic
street02,local_1s,delivery_remediable,1,0,1,fixed_v5_deterministic
street02,local_5s,delivery_remediable,1,0,0,fixed_v5_deterministic
building00,global,persistent_under_ideal,0,0,0,frozen_v2
building00,local_10s,delivery_remediable,1,0,0,frozen_v2
building00,local_1s,delivery_remediable,1,0,1,frozen_v2
building00,local_5s,delivery_remediable,1,0,0,frozen_v2
building01,global,persistent_under_ideal,0,0,0,frozen_v2
building01,local_10s,delivery_remediable,1,0,1,frozen_v2
building01,local_1s,delivery_remediable,1,0,1,frozen_v2
building01,local_5s,delivery_remediable,1,0,0,frozen_v2
building02,global,persistent_under_ideal,0,0,0,frozen_v2
building02,local_10s,delivery_remediable,1,0,1,frozen_v2
building02,local_1s,delivery_remediable,1,0,1,frozen_v2
building02,local_5s,delivery_remediable,1,0,1,frozen_v2
parking00,global,persistent_under_ideal,0,0,0,frozen_v2
parking00,local_10s,delivery_remediable,1,0,1,frozen_v2
parking00,local_1s,delivery_remediable,1,0,1,frozen_v2
parking00,local_5s,delivery_remediable,1,0,1,frozen_v2
parking01,global,persistent_under_ideal,0,0,0,frozen_v2
parking01,local_10s,delivery_remediable,1,0,1,frozen_v2
parking01,local_1s,delivery_remediable,1,0,1,frozen_v2
parking01,local_5s,delivery_remediable,1,0,1,frozen_v2
parking02,global,persistent_under_ideal,0,0,0,frozen_v2
parking02,local_10s,delivery_remediable,1,0,1,frozen_v2
parking02,local_1s,delivery_remediable,1,0,1,frozen_v2
parking02,local_5s,delivery_remediable,1,0,1,frozen_v2
playground00,global,already_qualified_degraded,1,1,1,frozen_v2
playground00,local_10s,already_qualified_degraded,1,1,1,frozen_v2
playground00,local_1s,delivery_remediable,1,0,1,frozen_v2
playground00,local_5s,delivery_remediable,1,0,1,frozen_v2
street00,global,already_qualified_degraded,1,1,1,frozen_v2
street00,local_10s,already_qualified_degraded,1,1,1,frozen_v2
street00,local_1s,delivery_remediable,1,0,1,frozen_v2
street00,local_5s,delivery_remediable,1,0,1,frozen_v2
street01,global,delivery_remediable,1,0,1,frozen_v2
street01,local_10s,delivery_remediable,1,0,1,frozen_v2
street01,local_1s,delivery_remediable,1,0,1,frozen_v2
street01,local_5s,delivery_remediable,1,0,1,frozen_v2
street02,global,delivery_remediable,1,0,1,frozen_v2
street02,local_10s,delivery_remediable,1,0,1,frozen_v2
street02,local_1s,delivery_remediable,1,0,1,frozen_v2
street02,local_5s,delivery_remediable,1,0,1,frozen_v2
