sequence,method,target_acceptance,accepted,conditions,false_qualified
building00,service_identity_only,0.1,0,80,0
building00,service_identity_only,0.2,20,80,15
building00,service_identity_only,0.3,20,80,15
building00,service_identity_only,0.4,20,80,15
building00,service_identity_only,0.5,40,80,26
building01,service_identity_only,0.1,0,80,0
building01,service_identity_only,0.2,20,80,12
building01,service_identity_only,0.3,20,80,12
building01,service_identity_only,0.4,20,80,12
building01,service_identity_only,0.5,40,80,24
building02,service_identity_only,0.1,0,80,0
building02,service_identity_only,0.2,20,80,11
building02,service_identity_only,0.3,20,80,11
building02,service_identity_only,0.4,20,80,11
building02,service_identity_only,0.5,40,80,21
parking00,service_identity_only,0.1,0,80,0
parking00,service_identity_only,0.2,20,80,11
parking00,service_identity_only,0.3,20,80,11
parking00,service_identity_only,0.4,20,80,11
parking00,service_identity_only,0.5,40,80,21
parking01,service_identity_only,0.1,0,80,0
parking01,service_identity_only,0.2,20,80,6
parking01,service_identity_only,0.3,20,80,6
parking01,service_identity_only,0.4,20,80,6
parking01,service_identity_only,0.5,40,80,12
parking02,service_identity_only,0.1,0,80,0
parking02,service_identity_only,0.2,20,80,6
parking02,service_identity_only,0.3,20,80,6
parking02,service_identity_only,0.4,20,80,6
parking02,service_identity_only,0.5,40,80,16
playground00,service_identity_only,0.1,0,80,0
playground00,service_identity_only,0.2,20,80,1
playground00,service_identity_only,0.3,20,80,1
playground00,service_identity_only,0.4,20,80,1
playground00,service_identity_only,0.5,40,80,8
street00,service_identity_only,0.1,0,80,0
street00,service_identity_only,0.2,20,80,5
street00,service_identity_only,0.3,20,80,5
street00,service_identity_only,0.4,20,80,5
street00,service_identity_only,0.5,40,80,12
street01,service_identity_only,0.1,0,80,0
street01,service_identity_only,0.2,20,80,7
street01,service_identity_only,0.3,20,80,7
street01,service_identity_only,0.4,20,80,7
street01,service_identity_only,0.5,40,80,18
street02,service_identity_only,0.1,0,80,0
street02,service_identity_only,0.2,20,80,8
street02,service_identity_only,0.3,20,80,8
street02,service_identity_only,0.4,20,80,8
street02,service_identity_only,0.5,40,80,19
