service,target_acceptance,method,accepted,conditions,false_qualified,achieved_acceptance,false_qualification,ci_low,ci_high
global,0.1,aoi_only,0,200,0,0.0,,,
global,0.1,kinematic_staleness,47,200,26,0.235,0.5531914893617021,0.22807017543859648,0.9
global,0.1,motion_logistic,17,200,17,0.085,1.0,1.0,1.0
global,0.1,service_empirical,0,200,0,0.0,,,
global,0.1,service_identity_only,0,200,0,0.0,,,
global,0.2,aoi_only,10,200,6,0.05,0.6,0.3,0.9
global,0.2,kinematic_staleness,112,200,70,0.56,0.625,0.36935644661054495,0.8900272277227724
global,0.2,motion_logistic,21,200,20,0.105,0.9523809523809523,0.0,1.0
global,0.2,service_empirical,0,200,0,0.0,,,
global,0.2,service_identity_only,0,200,0,0.0,,,
global,0.3,aoi_only,40,200,24,0.2,0.6,0.3,0.9
global,0.3,kinematic_staleness,146,200,97,0.73,0.6643835616438356,0.41093673006800036,0.9108395829052806
global,0.3,motion_logistic,36,200,26,0.18,0.7222222222222222,0.1,1.0
global,0.3,service_empirical,0,200,0,0.0,,,
global,0.3,service_identity_only,0,200,0,0.0,,,
global,0.4,aoi_only,90,200,55,0.45,0.6111111111111112,0.3111111111111111,0.9
global,0.4,kinematic_staleness,171,200,119,0.855,0.695906432748538,0.4486918604651163,0.9152779092888932
global,0.4,motion_logistic,44,200,31,0.22,0.7045454545454546,0.21875,0.9462648556876062
global,0.4,service_empirical,0,200,0,0.0,,,
global,0.4,service_identity_only,0,200,0,0.0,,,
global,0.5,aoi_only,110,200,68,0.55,0.6181818181818182,0.33590909090909105,0.9
global,0.5,kinematic_staleness,187,200,135,0.935,0.7219251336898396,0.4972346565315316,0.9226804123711341
global,0.5,motion_logistic,62,200,41,0.31,0.6612903225806451,0.2631363244176014,0.9250132978723405
global,0.5,service_empirical,0,200,0,0.0,,,
global,0.5,service_identity_only,0,200,0,0.0,,,
local_10s,0.1,aoi_only,90,200,7,0.45,0.07777777777777778,0.011111111111111112,0.16666666666666666
local_10s,0.1,kinematic_staleness,13,200,0,0.065,0.0,0.0,0.0
local_10s,0.1,motion_logistic,27,200,11,0.135,0.4074074074074074,0.0,0.55
local_10s,0.1,service_empirical,0,200,0,0.0,,,
local_10s,0.1,service_identity_only,0,200,0,0.0,,,
local_10s,0.2,aoi_only,137,200,26,0.685,0.1897810218978102,0.051470588235294115,0.34285714285714286
local_10s,0.2,kinematic_staleness,23,200,2,0.115,0.08695652173913043,0.0,0.15
local_10s,0.2,motion_logistic,50,200,11,0.25,0.22,0.0,0.4177215189873418
local_10s,0.2,service_empirical,53,200,3,0.265,0.05660377358490566,0.0,0.15254237288135594
local_10s,0.2,service_identity_only,200,200,82,1.0,0.41,0.285,0.525
local_10s,0.3,aoi_only,142,200,29,0.71,0.20422535211267606,0.07141590678824722,0.34507042253521125
local_10s,0.3,kinematic_staleness,39,200,6,0.195,0.15384615384615385,0.0,0.29508196721311475
local_10s,0.3,motion_logistic,75,200,12,0.375,0.16,0.0,0.34375
local_10s,0.3,service_empirical,82,200,5,0.41,0.06097560975609756,0.0,0.15476190476190477
local_10s,0.3,service_identity_only,200,200,82,1.0,0.41,0.29,0.53
local_10s,0.4,aoi_only,150,200,37,0.75,0.24666666666666667,0.12666666666666668,0.38
local_10s,0.4,kinematic_staleness,61,200,12,0.305,0.19672131147540983,0.0,0.36363636363636365
local_10s,0.4,motion_logistic,104,200,20,0.52,0.19230769230769232,0.04650268336314848,0.3333333333333333
local_10s,0.4,service_empirical,115,200,18,0.575,0.1565217391304348,0.04715879033680127,0.2844845107933838
local_10s,0.4,service_identity_only,200,200,82,1.0,0.41,0.295,0.53
local_10s,0.5,aoi_only,160,200,45,0.8,0.28125,0.15625,0.4125
local_10s,0.5,kinematic_staleness,77,200,15,0.385,0.19480519480519481,0.0,0.37373737373737376
local_10s,0.5,motion_logistic,126,200,31,0.63,0.24603174603174602,0.09,0.3666836734693878
local_10s,0.5,service_empirical,130,200,24,0.65,0.18461538461538463,0.06975402504472272,0.31065340909090927
local_10s,0.5,service_identity_only,200,200,82,1.0,0.41,0.29,0.53
local_1s,0.1,aoi_only,0,200,0,0.0,,,
local_1s,0.1,kinematic_staleness,10,200,0,0.05,0.0,0.0,0.0
local_1s,0.1,motion_logistic,23,200,10,0.115,0.43478260869565216,0.0,0.4918032786885246
local_1s,0.1,service_empirical,0,200,0,0.0,,,
local_1s,0.1,service_identity_only,0,200,0,0.0,,,
local_1s,0.2,aoi_only,0,200,0,0.0,,,
local_1s,0.2,kinematic_staleness,10,200,0,0.05,0.0,0.0,0.0
