service,method,target_acceptance,matched,surface_accepted,comparator_accepted,difference,ci_low,ci_high
global,aoi_only,0.3,False,0,50,,,
global,kinematic_staleness,0.3,False,0,142,,,
global,motion_logistic,0.3,False,0,34,,,
global,service_identity_only,0.3,False,0,0,,,
local_10s,aoi_only,0.3,False,86,150,,,
local_10s,kinematic_staleness,0.3,False,86,40,,,
local_10s,motion_logistic,0.3,True,86,76,-0.0850673194614443,-0.2777777777777778,0.13333333333333333
local_10s,service_identity_only,0.3,False,86,200,,,
local_1s,aoi_only,0.3,False,99,0,,,
local_1s,kinematic_staleness,0.3,False,99,34,,,
local_1s,motion_logistic,0.3,False,99,68,,,
local_1s,service_identity_only,0.3,False,99,0,,,
local_5s,aoi_only,0.3,True,50,50,0.0,0.0,0.0
local_5s,kinematic_staleness,0.3,False,50,26,,,
local_5s,motion_logistic,0.3,True,50,57,-0.22807017543859648,-0.4337739192062367,0.0
local_5s,service_identity_only,0.3,False,50,0,,,
