schema,model,sequence,seed,replicate,n_samples,duration_s,rate_hz,ATE_m,heading_MAE_deg,Dp_p95_m,Dp_max_m,Dtheta_p95_deg,Dtheta_max_deg,RPE_1s_pairs,RPEp_1s_m,RPEtheta_1s_MAE_deg,RPE_5s_pairs,RPEp_5s_m,RPEtheta_5s_MAE_deg,RPE_10s_pairs,RPEp_10s_m,RPEtheta_10s_MAE_deg,yaw_bias_signed_radps,abs_yaw_bias_radps,abs_yaw_bias_deg_per_min,Dv_RMSE_mps,Dv_p95_mps,Dv_max_mps,Domega_RMSE_radps,Domega_p95_radps,Domega_max_radps,Iomega_final_deg,Iomega_p95_abs_deg,Iomega_max_abs_deg,heading_metrics_role
i2nav_twin_fidelity_profile_v1,nominal_physics,ts_2022_06_09_13h16m39s_one_row,,,1395,139.3998670578003,10.000009536752259,32.71215475898493,33.77684551045981,39.628059555259824,39.78339712052337,123.6520960923161,128.14239021573783,1385,0.28256267281440256,3.9948149561706825,1345,1.5009820124517435,12.66920475378256,1295,3.3462243580225586,23.089320028000095,,,,,,,,,,,,,secondary_dataset_fused_reference
i2nav_twin_fidelity_profile_v1,loso_calibrated_physics,ts_2022_06_09_13h16m39s_one_row,,,1395,139.3998670578003,10.000009536752259,36.55972153278183,33.72476331980517,45.86793884789209,45.99281336113968,125.22353105065962,128.88251820489975,1385,0.2601897594198384,3.7825229947710435,1345,1.3619038844022338,11.553344494767758,1295,2.9872907636491246,21.041902467111576,,,,,,,,,,,,,secondary_dataset_fused_reference
i2nav_twin_fidelity_profile_v1,nominal_physics,ts_2022_06_15_11h48m34s_four_rows,,,3274,327.29968786239624,10.000009536752259,43.49052349468862,81.09055503267281,66.6620570575698,75.94546864549001,138.79845665766462,177.57972461993202,3264,0.11164908619873436,4.8150042406954565,3224,0.9130070891973245,11.86510714164327,3174,2.375166205522304,19.74629078427121,,,,,,,,,,,,,secondary_dataset_fused_reference
i2nav_twin_fidelity_profile_v1,loso_calibrated_physics,ts_2022_06_15_11h48m34s_four_rows,,,3274,327.29968786239624,10.000009536752259,34.44767171275857,80.41378427700269,55.26479947033103,61.78723996364381,152.0411243342778,168.2400043569515,3264,0.14916879530435395,4.649201080837298,3224,0.9571728243034597,10.908650768388819,3174,2.325785248471693,17.727201836422047,,,,,,,,,,,,,secondary_dataset_fused_reference
i2nav_twin_fidelity_profile_v1,nominal_physics,ts_2022_09_01_11h20m00s_two_random,,,2352,235.0997757911682,10.000009536752259,48.835778974396476,55.453144664605155,108.22296739362265,122.57951356248515,136.71864506208416,144.59556186152707,2342,0.23414793361532,3.7411635234377925,2302,1.4771710753538976,11.550916422126122,2252,3.6837218223993475,20.554073166520585,,,,,,,,,,,,,secondary_dataset_fused_reference
i2nav_twin_fidelity_profile_v1,loso_calibrated_physics,ts_2022_09_01_11h20m00s_two_random,,,2352,235.0997757911682,10.000009536752259,35.95710372028739,49.1372937024373,77.28694765778017,88.86356573173161,110.92863858854503,118.84904599724216,2342,0.2513460779129805,3.711332239781512,2302,1.4826759992598484,11.045300800991503,2252,3.5395474032594563,19.4725667495724,,,,,,,,,,,,,secondary_dataset_fused_reference
i2nav_twin_fidelity_profile_v1,nominal_physics,ts_2022_09_01_12h32m56s_double_loop_corridor,,,2558,255.6997561454773,10.000009536752259,49.90430419176915,79.08081433011236,98.25128061708483,104.71222087097917,164.62505630808099,178.92655853471086,2548,0.7859813043729593,4.103490616671447,2508,4.028916429594967,13.131521064075867,2458,8.264305945056247,22.423139627843735,,,,,,,,,,,,,secondary_dataset_fused_reference
i2nav_twin_fidelity_profile_v1,loso_calibrated_physics,ts_2022_09_01_12h32m56s_double_loop_corridor,,,2558,255.6997561454773,10.000009536752259,47.0244061939957,85.33374684837034,88.04374482800176,93.71554127912243,173.83609935690805,179.9955178802633,2548,0.7289618317877989,3.9571896617913516,2508,3.723484352156802,12.644791141924049,2458,7.605043338466975,21.937212914150905,,,,,,,,,,,,,secondary_dataset_fused_reference
i2nav_twin_fidelity_profile_v1,nominal_physics,ts_2022_09_06_12h37m11s_four_rows,,,3598,359.6996569633484,10.000009536752259,60.688391620336574,76.49703332893729,92.25927743278774,100.11868921168102,125.79304030332626,179.8600827597918,3588,0.30724773238744735,3.636586253093103,3548,1.63346680732817,10.156947767797329,3498,3.419306982266249,18.19571452269084,,,,,,,,,,,,,secondary_dataset_fused_reference
i2nav_twin_fidelity_profile_v1,loso_calibrated_physics,ts_2022_09_06_12h37m11s_four_rows,,,3598,359.6996569633484,10.000009536752259,68.16322008931533,139.06592408720005,98.589011552923,102.544527659776,176.6433630727046,179.9968338790515,3588,0.3176809299384066,3.7281030848733034,3548,1.6498383921650994,10.267022441331662,3498,3.37815430809106,18.14343561800751,,,,,,,,,,,,,secondary_dataset_fused_reference
