sequence,model,service,rate_hz,delay_ms,observable_samples,physical_satisfaction,freshness_satisfaction,joint_satisfaction,p95_position_discrepancy_m,qualified,physical_failure,freshness_failure
ts_2022_06_09_13h16m39s_one_row,nominal_physics,local_1s,10.0,0,1095,0.8438356164383561,1.0,0.8438356164383561,0.13534709848684667,True,False,False
ts_2022_06_09_13h16m39s_one_row,nominal_physics,local_1s,2.0,200,1095,0.7936073059360731,0.8,0.6365296803652968,0.19929264438906982,False,True,False
ts_2022_06_09_13h16m39s_one_row,nominal_physics,local_5s,10.0,0,1095,0.1954337899543379,1.0,0.1954337899543379,1.4935296864577303,False,True,False
ts_2022_06_09_13h16m39s_one_row,nominal_physics,local_5s,2.0,200,1095,0.19908675799086759,1.0,0.19908675799086759,1.4653853960418401,False,True,False
ts_2022_06_09_13h16m39s_one_row,nominal_physics,local_10s,10.0,0,1095,0.35707762557077627,1.0,0.35707762557077627,4.618655978669272,False,True,False
ts_2022_06_09_13h16m39s_one_row,nominal_physics,local_10s,2.0,200,1095,0.2776255707762557,1.0,0.2776255707762557,4.691583963428135,False,True,False
ts_2022_06_09_13h16m39s_one_row,nominal_physics,global,10.0,0,1095,0.0,1.0,0.0,39.65792844304043,False,True,False
ts_2022_06_09_13h16m39s_one_row,nominal_physics,global,2.0,200,1095,0.0,1.0,0.0,39.6766048582789,False,True,False
ts_2022_06_09_13h16m39s_one_row,loso_calibrated_physics,local_1s,10.0,0,1095,0.6675799086757991,1.0,0.6675799086757991,0.1450751060553185,False,True,False
ts_2022_06_09_13h16m39s_one_row,loso_calibrated_physics,local_1s,2.0,200,1095,0.5643835616438356,0.8,0.4602739726027397,0.17562003640761312,False,True,False
ts_2022_06_09_13h16m39s_one_row,loso_calibrated_physics,local_5s,10.0,0,1095,0.22465753424657534,1.0,0.22465753424657534,1.2981828052075837,False,True,False
ts_2022_06_09_13h16m39s_one_row,loso_calibrated_physics,local_5s,2.0,200,1095,0.20365296803652969,1.0,0.20365296803652969,1.2922554226147722,False,True,False
ts_2022_06_09_13h16m39s_one_row,loso_calibrated_physics,local_10s,10.0,0,1095,0.28036529680365296,1.0,0.28036529680365296,3.7457327261556284,False,True,False
ts_2022_06_09_13h16m39s_one_row,loso_calibrated_physics,local_10s,2.0,200,1095,0.2958904109589041,1.0,0.2958904109589041,3.7375087317391973,False,True,False
ts_2022_06_09_13h16m39s_one_row,loso_calibrated_physics,global,10.0,0,1095,0.0,1.0,0.0,45.8901235633535,False,True,False
ts_2022_06_09_13h16m39s_one_row,loso_calibrated_physics,global,2.0,200,1095,0.0,1.0,0.0,45.98363194548345,False,True,False
ts_2022_06_15_11h48m34s_four_rows,nominal_physics,local_1s,10.0,0,2974,0.7488231338264963,1.0,0.7488231338264963,0.17266390503434587,False,True,False
ts_2022_06_15_11h48m34s_four_rows,nominal_physics,local_1s,2.0,200,2974,0.6466039004707465,0.7999327505043712,0.5332885003362475,0.22725497476281592,False,True,True
ts_2022_06_15_11h48m34s_four_rows,nominal_physics,local_5s,10.0,0,2974,0.07330195023537324,1.0,0.07330195023537324,2.4464649401485024,False,True,False
ts_2022_06_15_11h48m34s_four_rows,nominal_physics,local_5s,2.0,200,2974,0.07061197041022192,1.0,0.07061197041022192,2.282304893662748,False,True,False
ts_2022_06_15_11h48m34s_four_rows,nominal_physics,local_10s,10.0,0,2974,0.16408876933423,1.0,0.16408876933423,6.190193874450093,False,True,False
ts_2022_06_15_11h48m34s_four_rows,nominal_physics,local_10s,2.0,200,2974,0.1526563550773369,1.0,0.1526563550773369,6.142385530985743,False,True,False
ts_2022_06_15_11h48m34s_four_rows,nominal_physics,global,10.0,0,2974,0.0,1.0,0.0,67.03579939463579,False,True,False
ts_2022_06_15_11h48m34s_four_rows,nominal_physics,global,2.0,200,2974,0.0,1.0,0.0,66.90492762755893,False,True,False
ts_2022_06_15_11h48m34s_four_rows,loso_calibrated_physics,local_1s,10.0,0,2974,0.11297915265635508,1.0,0.11297915265635508,0.19551929432270454,False,True,False
ts_2022_06_15_11h48m34s_four_rows,loso_calibrated_physics,local_1s,2.0,200,2974,0.1230665770006725,0.7999327505043712,0.09852051109616677,0.23811195240413408,False,True,True
ts_2022_06_15_11h48m34s_four_rows,loso_calibrated_physics,local_5s,10.0,0,2974,0.014122394082044385,1.0,0.014122394082044385,2.164098351829823,False,True,False
ts_2022_06_15_11h48m34s_four_rows,loso_calibrated_physics,local_5s,2.0,200,2974,0.01714862138533961,1.0,0.01714862138533961,2.026322037849026,False,True,False
ts_2022_06_15_11h48m34s_four_rows,loso_calibrated_physics,local_10s,10.0,0,2974,0.0121049092131809,1.0,0.0121049092131809,5.265465140392576,False,True,False
ts_2022_06_15_11h48m34s_four_rows,loso_calibrated_physics,local_10s,2.0,200,2974,0.014794889038332213,1.0,0.014794889038332213,5.235012955429872,False,True,False
ts_2022_06_15_11h48m34s_four_rows,loso_calibrated_physics,global,10.0,0,2974,0.0,1.0,0.0,56.21398684034223,False,True,False
