sequence,model,service,degraded_qualified,ideal_qualified,degraded_physical_failure,degraded_freshness_failure,category
ts_2022_06_09_13h16m39s_one_row,loso_calibrated_physics,global,False,False,True,False,persistent
ts_2022_06_09_13h16m39s_one_row,loso_calibrated_physics,local_10s,False,False,True,False,persistent
ts_2022_06_09_13h16m39s_one_row,loso_calibrated_physics,local_1s,False,False,True,False,persistent
ts_2022_06_09_13h16m39s_one_row,loso_calibrated_physics,local_5s,False,False,True,False,persistent
ts_2022_06_09_13h16m39s_one_row,nominal_physics,global,False,False,True,False,persistent
ts_2022_06_09_13h16m39s_one_row,nominal_physics,local_10s,False,False,True,False,persistent
ts_2022_06_09_13h16m39s_one_row,nominal_physics,local_1s,False,True,True,False,delivery_remediable
ts_2022_06_09_13h16m39s_one_row,nominal_physics,local_5s,False,False,True,False,persistent
ts_2022_06_15_11h48m34s_four_rows,loso_calibrated_physics,global,False,False,True,False,persistent
ts_2022_06_15_11h48m34s_four_rows,loso_calibrated_physics,local_10s,False,False,True,False,persistent
ts_2022_06_15_11h48m34s_four_rows,loso_calibrated_physics,local_1s,False,False,True,True,persistent
ts_2022_06_15_11h48m34s_four_rows,loso_calibrated_physics,local_5s,False,False,True,False,persistent
ts_2022_06_15_11h48m34s_four_rows,nominal_physics,global,False,False,True,False,persistent
ts_2022_06_15_11h48m34s_four_rows,nominal_physics,local_10s,False,False,True,False,persistent
ts_2022_06_15_11h48m34s_four_rows,nominal_physics,local_1s,False,False,True,True,persistent
ts_2022_06_15_11h48m34s_four_rows,nominal_physics,local_5s,False,False,True,False,persistent
ts_2022_09_01_11h20m00s_two_random,loso_calibrated_physics,global,False,False,True,False,persistent
ts_2022_09_01_11h20m00s_two_random,loso_calibrated_physics,local_10s,False,False,True,False,persistent
ts_2022_09_01_11h20m00s_two_random,loso_calibrated_physics,local_1s,False,False,True,False,persistent
ts_2022_09_01_11h20m00s_two_random,loso_calibrated_physics,local_5s,False,False,True,False,persistent
ts_2022_09_01_11h20m00s_two_random,nominal_physics,global,False,False,True,False,persistent
ts_2022_09_01_11h20m00s_two_random,nominal_physics,local_10s,False,False,True,False,persistent
ts_2022_09_01_11h20m00s_two_random,nominal_physics,local_1s,False,True,True,False,delivery_remediable
ts_2022_09_01_11h20m00s_two_random,nominal_physics,local_5s,False,False,True,False,persistent
ts_2022_09_01_12h32m56s_double_loop_corridor,loso_calibrated_physics,global,False,False,True,False,persistent
ts_2022_09_01_12h32m56s_double_loop_corridor,loso_calibrated_physics,local_10s,False,False,True,False,persistent
ts_2022_09_01_12h32m56s_double_loop_corridor,loso_calibrated_physics,local_1s,False,False,True,True,persistent
ts_2022_09_01_12h32m56s_double_loop_corridor,loso_calibrated_physics,local_5s,False,False,True,False,persistent
ts_2022_09_01_12h32m56s_double_loop_corridor,nominal_physics,global,False,False,True,False,persistent
ts_2022_09_01_12h32m56s_double_loop_corridor,nominal_physics,local_10s,False,False,True,False,persistent
ts_2022_09_01_12h32m56s_double_loop_corridor,nominal_physics,local_1s,False,False,True,True,persistent
ts_2022_09_01_12h32m56s_double_loop_corridor,nominal_physics,local_5s,False,False,True,False,persistent
ts_2022_09_06_12h37m11s_four_rows,loso_calibrated_physics,global,False,False,True,False,persistent
ts_2022_09_06_12h37m11s_four_rows,loso_calibrated_physics,local_10s,False,False,True,False,persistent
ts_2022_09_06_12h37m11s_four_rows,loso_calibrated_physics,local_1s,False,False,True,True,persistent
ts_2022_09_06_12h37m11s_four_rows,loso_calibrated_physics,local_5s,False,False,True,False,persistent
ts_2022_09_06_12h37m11s_four_rows,nominal_physics,global,False,False,True,False,persistent
ts_2022_09_06_12h37m11s_four_rows,nominal_physics,local_10s,False,False,True,False,persistent
ts_2022_09_06_12h37m11s_four_rows,nominal_physics,local_1s,False,True,True,True,delivery_remediable
ts_2022_09_06_12h37m11s_four_rows,nominal_physics,local_5s,False,False,True,False,persistent
