run,effective_track_width_m,position_ate_rmse_m,rpe_1s_rmse_m,heading_mae_deg,global_contract_satisfaction
calibration,0.18,0.13928704583104753,0.02322649787154758,17.9981535465932,0.21634615384615385
calibration,0.185,0.09104894749319135,0.01837251555178767,7.629702173885122,0.4362980769230769
calibration,0.19,0.11500125967268662,0.020838428964607237,8.296843206563326,0.33834134615384615
calibration,0.195,0.17672179578101035,0.028170510637810495,16.392469512539954,0.24338942307692307
calibration,0.2,0.24172945701224502,0.036223227844389125,25.863395956163494,0.17247596153846154
calibration,0.205,0.30281559781598116,0.044048961092274734,35.239470389293736,0.14483173076923078
calibration,0.21,0.35782475183358026,0.05113995111411676,44.1999840546913,0.13161057692307693
holdout_1,0.18,0.49151548020939295,0.06145413171283255,71.4577638518493,0.027243589743589744
holdout_1,0.185,0.36148369378277284,0.046445711553243806,49.635159683794214,0.038461538461538464
holdout_1,0.19,0.2251685907353685,0.029863722360860784,28.96484315466121,0.049679487179487176
holdout_1,0.195,0.1299325403676031,0.01699840667376356,9.603853397560306,0.33653846153846156
holdout_1,0.2,0.17622090904594195,0.02043640576424829,11.690994227038306,0.2644230769230769
holdout_1,0.205,0.29025418167166883,0.03407277262222945,28.099966024436526,0.14423076923076922
holdout_1,0.21,0.4017000913777709,0.04750646550208995,44.58534800201992,0.10576923076923077
holdout_2,0.18,0.9598669095695752,0.19045187427995774,118.33827825660232,0.05354330708661417
holdout_2,0.185,0.9063273666745945,0.16909107355099767,93.67110406394711,0.08346456692913386
holdout_2,0.19,0.8050402192899615,0.1332698055602372,67.81365680862831,0.10236220472440945
holdout_2,0.195,0.6911468690722385,0.09107563069838708,43.18018717665251,0.09921259842519685
holdout_2,0.2,0.6234351330784076,0.05723599047059998,20.966441654200775,0.2125984251968504
holdout_2,0.205,0.6428963543741828,0.059698469681794236,20.83868478018447,0.16062992125984252
holdout_2,0.21,0.735567107533991,0.09018913282011715,34.725216902109686,0.09763779527559055
