capacity_hz,policy,offered_rate_hz,capacity_limited_rate_hz,response_payload_bytes_per_s,payload_saving_vs_static_high_fraction,capacity_saturated
1.5,static-low,2.0,1.5,929.1669064748203,0.0,True
1.5,static-high,10.0,1.5,929.1669064748203,0.0,True
1.5,aoi-only,2.7597122302158272,1.5,929.1669064748203,0.0,True
1.5,contract-aware,8.611510791366907,1.5,929.1669064748203,0.0,True
2.0,static-low,2.0,2.0,1238.8892086330936,0.0,False
2.0,static-high,10.0,2.0,1238.8892086330936,0.0,True
2.0,aoi-only,2.7597122302158272,2.0,1238.8892086330936,0.0,True
2.0,contract-aware,8.611510791366907,2.0,1238.8892086330936,0.0,True
5.0,static-low,2.0,2.0,1238.8892086330936,0.6,False
5.0,static-high,10.0,5.0,3097.223021582734,0.0,True
5.0,aoi-only,2.7597122302158272,2.7597122302158272,1709.488850473578,0.44805755395683455,False
5.0,contract-aware,8.611510791366907,5.0,3097.223021582734,0.0,True
10.0,static-low,2.0,2.0,1238.8892086330936,0.8,False
10.0,static-high,10.0,10.0,6194.446043165468,0.0,False
10.0,aoi-only,2.7597122302158272,2.7597122302158272,1709.488850473578,0.7240287769784173,False
10.0,contract-aware,8.611510791366907,8.611510791366907,5334.353894725947,0.13884892086330924,False
