policy,source_duration_s,requests,requests_per_s,response_bytes,response_bytes_per_s,repeated_source_fraction,aoi_at_delivery_median_s,aoi_at_delivery_p95_s,rate_switches,economy_fraction,normal_fraction,high_fraction,trial,source_log
static-low,90.86099999999999,140,1.5408150911832361,86271,949.4832766533498,0.06428571428571428,0.7736460647582817,1.3771113434791629,0,1.0,0.0,0.0,1,trials/contract_aware/trial_01/live_contract.jsonl
static-high,90.86099999999999,140,1.5408150911832361,86271,949.4832766533498,0.06428571428571428,0.7736460647582817,1.3771113434791629,0,0.0,0.0,1.0,1,trials/contract_aware/trial_01/live_contract.jsonl
aoi-only,90.86099999999999,140,1.5408150911832361,86271,949.4832766533498,0.06428571428571428,0.7736460647582817,1.3771113434791629,1,0.0,0.02857142857142857,0.9714285714285714,1,trials/contract_aware/trial_01/live_contract.jsonl
contract-aware,90.86099999999999,140,1.5408150911832361,86271,949.4832766533498,0.06428571428571428,0.7736460647582817,1.3771113434791629,1,0.0,0.02857142857142857,0.9714285714285714,1,trials/contract_aware/trial_01/live_contract.jsonl
static-low,90.5909999999999,139,1.5343687562782193,86185,951.3638220132253,0.05755395683453238,0.8274356727599752,1.2909024524689354,0,1.0,0.0,0.0,2,trials/contract_aware/trial_02/live_contract.jsonl
static-high,90.5909999999999,139,1.5343687562782193,86185,951.3638220132253,0.05755395683453238,0.8274356727599752,1.2909024524689354,0,0.0,0.0,1.0,2,trials/contract_aware/trial_02/live_contract.jsonl
aoi-only,90.5909999999999,139,1.5343687562782193,86185,951.3638220132253,0.05755395683453238,0.8274356727599752,1.2909024524689354,1,0.0,0.02877697841726619,0.9712230215827338,2,trials/contract_aware/trial_02/live_contract.jsonl
contract-aware,90.5909999999999,139,1.5343687562782193,86185,951.3638220132253,0.05755395683453238,0.8274356727599752,1.2909024524689354,1,0.0,0.02877697841726619,0.9712230215827338,2,trials/contract_aware/trial_02/live_contract.jsonl
static-low,90.75800000000004,140,1.5425637409374373,86673,954.9901937019322,0.02142857142857143,1.008092414856037,1.239592198657931,0,1.0,0.0,0.0,3,trials/contract_aware/trial_03/live_contract.jsonl
static-high,90.75800000000004,140,1.5425637409374373,86673,954.9901937019322,0.02142857142857143,1.008092414856037,1.239592198657931,0,0.0,0.0,1.0,3,trials/contract_aware/trial_03/live_contract.jsonl
aoi-only,90.75800000000004,140,1.5425637409374373,86673,954.9901937019322,0.02142857142857143,1.008092414856037,1.239592198657931,1,0.0,0.02857142857142857,0.9714285714285714,3,trials/contract_aware/trial_03/live_contract.jsonl
contract-aware,90.75800000000004,140,1.5425637409374373,86673,954.9901937019322,0.02142857142857143,1.008092414856037,1.239592198657931,1,0.0,0.02857142857142857,0.9714285714285714,3,trials/contract_aware/trial_03/live_contract.jsonl
static-low,91.01499999999987,139,1.527220787782236,86400,949.2940724056488,0.06474820143884892,0.7999935607911084,1.353860940933282,0,1.0,0.0,0.0,4,trials/contract_aware/trial_04/live_contract.jsonl
static-high,91.01499999999987,139,1.527220787782236,86400,949.2940724056488,0.06474820143884892,0.7999935607911084,1.353860940933282,0,0.0,0.0,1.0,4,trials/contract_aware/trial_04/live_contract.jsonl
aoi-only,91.01499999999987,139,1.527220787782236,86400,949.2940724056488,0.06474820143884892,0.7999935607911084,1.353860940933282,1,0.0,0.02877697841726619,0.9712230215827338,4,trials/contract_aware/trial_04/live_contract.jsonl
contract-aware,91.01499999999987,139,1.527220787782236,86400,949.2940724056488,0.06474820143884892,0.7999935607911084,1.353860940933282,1,0.0,0.02877697841726619,0.9712230215827338,4,trials/contract_aware/trial_04/live_contract.jsonl
static-low,90.56500000000005,139,1.53480925302269,86371,953.6907193728256,0.05755395683453238,0.9462394523620787,1.2586992799758945,0,1.0,0.0,0.0,5,trials/contract_aware/trial_05/live_contract.jsonl
static-high,90.56500000000005,139,1.53480925302269,86371,953.6907193728256,0.05755395683453238,0.9462394523620787,1.2586992799758945,0,0.0,0.0,1.0,5,trials/contract_aware/trial_05/live_contract.jsonl
aoi-only,90.56500000000005,139,1.53480925302269,86371,953.6907193728256,0.05755395683453238,0.9462394523620787,1.2586992799758945,1,0.0,0.02877697841726619,0.9712230215827338,5,trials/contract_aware/trial_05/live_contract.jsonl
contract-aware,90.56500000000005,139,1.53480925302269,86371,953.6907193728256,0.05755395683453238,0.9462394523620787,1.2586992799758945,1,0.0,0.02877697841726619,0.9712230215827338,5,trials/contract_aware/trial_05/live_contract.jsonl
