trial,policy,response_byte_saving_vs_static_high_fraction,request_saving_vs_static_high_fraction,aoi_p95_delta_vs_static_high_s
1,static-low,0.0,0.0,0.0
1,static-high,0.0,0.0,0.0
1,aoi-only,0.0,0.0,0.0
1,contract-aware,0.0,0.0,0.0
2,static-low,0.0,0.0,0.0
2,static-high,0.0,0.0,0.0
2,aoi-only,0.0,0.0,0.0
2,contract-aware,0.0,0.0,0.0
3,static-low,0.0,0.0,0.0
3,static-high,0.0,0.0,0.0
3,aoi-only,0.0,0.0,0.0
3,contract-aware,0.0,0.0,0.0
4,static-low,0.0,0.0,0.0
4,static-high,0.0,0.0,0.0
4,aoi-only,0.0,0.0,0.0
4,contract-aware,0.0,0.0,0.0
5,static-low,0.0,0.0,0.0
5,static-high,0.0,0.0,0.0
5,aoi-only,0.0,0.0,0.0
5,contract-aware,0.0,0.0,0.0
