policy,trial,service_id,windows,pass,fail,unobservable,observable_fraction,satisfaction_given_observable
static-low,1,local_1s_tight,122,31,78,13,0.8934426229508197,0.28440366972477066
static-low,1,local_5s_moderate,122,10,89,23,0.8114754098360656,0.10101010101010101
static-low,1,local_10s_preview,122,29,70,23,0.8114754098360656,0.29292929292929293
static-low,1,global_state_tracking,122,78,44,0,1.0,0.639344262295082
static-low,2,local_1s_tight,129,40,68,21,0.8372093023255814,0.37037037037037035
static-low,2,local_5s_moderate,129,13,105,11,0.9147286821705426,0.11016949152542373
static-low,2,local_10s_preview,129,12,96,21,0.8372093023255814,0.1111111111111111
static-low,2,global_state_tracking,129,17,112,0,1.0,0.13178294573643412
static-low,3,local_1s_tight,117,35,78,4,0.9658119658119658,0.30973451327433627
static-low,3,local_5s_moderate,117,15,89,13,0.8888888888888888,0.14423076923076922
static-low,3,local_10s_preview,117,16,84,17,0.8547008547008547,0.16
static-low,3,global_state_tracking,117,47,70,0,1.0,0.4017094017094017
static-low,4,local_1s_tight,123,48,70,5,0.959349593495935,0.4067796610169492
static-low,4,local_5s_moderate,123,18,92,13,0.8943089430894309,0.16363636363636364
static-low,4,local_10s_preview,123,33,70,20,0.8373983739837398,0.32038834951456313
static-low,4,global_state_tracking,123,29,94,0,1.0,0.23577235772357724
static-low,5,local_1s_tight,136,53,77,6,0.9558823529411765,0.4076923076923077
static-low,5,local_5s_moderate,136,25,100,11,0.9191176470588235,0.2
static-low,5,local_10s_preview,136,46,73,17,0.875,0.3865546218487395
static-low,5,global_state_tracking,136,16,120,0,1.0,0.11764705882352941
static-high,1,local_1s_tight,137,43,89,5,0.9635036496350365,0.32575757575757575
static-high,1,local_5s_moderate,137,26,100,11,0.9197080291970803,0.20634920634920634
static-high,1,local_10s_preview,137,47,75,15,0.8905109489051095,0.38524590163934425
static-high,1,global_state_tracking,137,61,76,0,1.0,0.44525547445255476
static-high,2,local_1s_tight,138,45,90,3,0.9782608695652174,0.3333333333333333
static-high,2,local_5s_moderate,138,33,94,11,0.9202898550724637,0.25984251968503935
static-high,2,local_10s_preview,138,52,70,16,0.8840579710144928,0.4262295081967213
static-high,2,global_state_tracking,138,32,106,0,1.0,0.2318840579710145
static-high,3,local_1s_tight,137,49,80,8,0.9416058394160584,0.3798449612403101
static-high,3,local_5s_moderate,137,19,102,16,0.8832116788321168,0.15702479338842976
static-high,3,local_10s_preview,137,26,96,15,0.8905109489051095,0.21311475409836064
static-high,3,global_state_tracking,137,8,129,0,1.0,0.058394160583941604
static-high,4,local_1s_tight,137,37,92,8,0.9416058394160584,0.2868217054263566
static-high,4,local_5s_moderate,137,12,113,12,0.9124087591240876,0.096
static-high,4,local_10s_preview,137,19,103,15,0.8905109489051095,0.1557377049180328
static-high,4,global_state_tracking,137,17,120,0,1.0,0.12408759124087591
static-high,5,local_1s_tight,136,29,100,7,0.9485294117647058,0.2248062015503876
static-high,5,local_5s_moderate,136,16,109,11,0.9191176470588235,0.128
static-high,5,local_10s_preview,136,25,94,17,0.875,0.21008403361344538
static-high,5,global_state_tracking,136,5,131,0,1.0,0.03676470588235294
aoi-only,1,local_1s_tight,138,48,68,22,0.8405797101449275,0.41379310344827586
aoi-only,1,local_5s_moderate,138,32,94,12,0.9130434782608695,0.25396825396825395
aoi-only,1,local_10s_preview,138,54,65,19,0.8623188405797102,0.453781512605042
aoi-only,1,global_state_tracking,138,46,92,0,1.0,0.3333333333333333
aoi-only,2,local_1s_tight,136,42,69,25,0.8161764705882353,0.3783783783783784
aoi-only,2,local_5s_moderate,136,31,88,17,0.875,0.2605042016806723
aoi-only,2,local_10s_preview,136,77,43,16,0.8823529411764706,0.6416666666666667
aoi-only,2,global_state_tracking,136,11,125,0,1.0,0.08088235294117647
aoi-only,3,local_1s_tight,141,49,86,6,0.9574468085106383,0.362962962962963
aoi-only,3,local_5s_moderate,141,38,94,9,0.9361702127659575,0.2878787878787879
aoi-only,3,local_10s_preview,141,50,73,18,0.8723404255319149,0.4065040650406504
aoi-only,3,global_state_tracking,141,24,117,0,1.0,0.1702127659574468
aoi-only,4,local_1s_tight,140,45,90,5,0.9642857142857143,0.3333333333333333
aoi-only,4,local_5s_moderate,140,25,103,12,0.9142857142857143,0.1953125
aoi-only,4,local_10s_preview,140,49,72,19,0.8642857142857143,0.4049586776859504
aoi-only,4,global_state_tracking,140,55,85,0,1.0,0.39285714285714285
aoi-only,5,local_1s_tight,140,36,100,4,0.9714285714285714,0.2647058823529412
aoi-only,5,local_5s_moderate,140,21,108,11,0.9214285714285714,0.16279069767441862
aoi-only,5,local_10s_preview,140,66,57,17,0.8785714285714286,0.5365853658536586
aoi-only,5,global_state_tracking,140,24,116,0,1.0,0.17142857142857143
contract-aware,1,local_1s_tight,140,51,83,6,0.9571428571428572,0.3805970149253731
contract-aware,1,local_5s_moderate,140,38,92,10,0.9285714285714286,0.2923076923076923
contract-aware,1,local_10s_preview,140,88,34,18,0.8714285714285714,0.7213114754098361
contract-aware,1,global_state_tracking,140,22,118,0,1.0,0.15714285714285714
contract-aware,2,local_1s_tight,139,43,89,7,0.9496402877697842,0.32575757575757575
contract-aware,2,local_5s_moderate,139,23,106,10,0.9280575539568345,0.17829457364341086
contract-aware,2,local_10s_preview,139,51,69,19,0.8633093525179856,0.425
contract-aware,2,global_state_tracking,139,36,103,0,1.0,0.2589928057553957
contract-aware,3,local_1s_tight,139,54,80,5,0.9640287769784173,0.40298507462686567
contract-aware,3,local_5s_moderate,139,48,79,12,0.9136690647482014,0.3779527559055118
contract-aware,3,local_10s_preview,139,72,51,16,0.8848920863309353,0.5853658536585366
contract-aware,3,global_state_tracking,139,94,45,0,1.0,0.6762589928057554
contract-aware,4,local_1s_tight,139,60,72,7,0.9496402877697842,0.45454545454545453
contract-aware,4,local_5s_moderate,139,28,97,14,0.8992805755395683,0.224
contract-aware,4,local_10s_preview,139,38,85,16,0.8848920863309353,0.3089430894308943
contract-aware,4,global_state_tracking,139,46,93,0,1.0,0.33093525179856115
contract-aware,5,local_1s_tight,138,34,98,6,0.9565217391304348,0.25757575757575757
contract-aware,5,local_5s_moderate,138,17,111,10,0.927536231884058,0.1328125
contract-aware,5,local_10s_preview,138,21,101,16,0.8840579710144928,0.1721311475409836
contract-aware,5,global_state_tracking,138,44,94,0,1.0,0.3188405797101449
