policy,service_id,physical_traces,mean_observable_fraction,mean_satisfaction_given_observable,mean_requests_per_s,mean_bytes_per_s
static-low,local_1s_tight,5,0.9913977389516958,0.01011364821186529,1.5359555258407638,951.7644168293963
static-low,local_5s_moderate,5,0.9411716341212744,0.12764568764568765,1.5359555258407638,951.7644168293963
static-low,local_10s_preview,5,0.883792394655704,0.43959878414225706,1.5359555258407638,951.7644168293963
static-low,global_state_tracking,5,1.0,0.2151798561151079,1.5359555258407638,951.7644168293963
static-high,local_1s_tight,5,0.9913977389516958,0.01011364821186529,1.5359555258407638,951.7644168293963
static-high,local_5s_moderate,5,0.9411716341212744,0.12764568764568765,1.5359555258407638,951.7644168293963
static-high,local_10s_preview,5,0.883792394655704,0.43959878414225706,1.5359555258407638,951.7644168293963
static-high,global_state_tracking,5,1.0,0.2151798561151079,1.5359555258407638,951.7644168293963
aoi-only,local_1s_tight,5,0.9913977389516958,0.01011364821186529,1.5359555258407638,951.7644168293963
aoi-only,local_5s_moderate,5,0.9411716341212744,0.12764568764568765,1.5359555258407638,951.7644168293963
aoi-only,local_10s_preview,5,0.883792394655704,0.43959878414225706,1.5359555258407638,951.7644168293963
aoi-only,global_state_tracking,5,1.0,0.2151798561151079,1.5359555258407638,951.7644168293963
contract-aware,local_1s_tight,5,0.9913977389516958,0.01011364821186529,1.5359555258407638,951.7644168293963
contract-aware,local_5s_moderate,5,0.9411716341212744,0.12764568764568765,1.5359555258407638,951.7644168293963
contract-aware,local_10s_preview,5,0.883792394655704,0.43959878414225706,1.5359555258407638,951.7644168293963
contract-aware,global_state_tracking,5,1.0,0.2151798561151079,1.5359555258407638,951.7644168293963
